Unit,Affiliation,Audio-video,Battalion,Bibliography Attachment,Book,Brigade,Command,Company,Competing Units,Date,Date Dissolved,Designation - Primary,Designation Secondary,Dissolve Trigger,Division,Duration of Service,Fate,Final Affiliation,Formation Date,Formation Trigger,HEBREW,IDF INDIVIDUALS,Individuals Glossary copy,Individuals1,Individuals2,Inspired by,Level of Conflict,Location,Number of Soldiers Formed,Number of Soldiers Later,Operational Attributes,Operations,Organizational Attributes,Predecessor,Predecessor Unit,Prestige,Prestige Cultivation,Profession,Reference,Reference 1,References,Regional Command,Role,Selection,Size,Size Formed,Sub-Unit,Successor,Successor Unit,TOC,Tactics,Tags,Training,Training Attributes,URL,Unit 1,Vehicles,Wars and Operations,Weapons,"Year Disbanded ",Year Established,כותרת אנליטית
Reconnaissance Company 7,"4th Battalion, Palmach",,,,,,,,,,,סיור בעומק שטחים ערביים,פעילות נגד מטרות בריטיות,נפילת רבים מחברי המחלקה בקרבות נבי סמואל,,,,Palmach,,"הקמת יחידות הפלמ""ח",יחידת סיירים פלוגה ז,,,יוחנן זריז,"דוד גורפינקל, יוסקה יהלום, אריה שחר (שורצמן), יהודה שליין, משה ברקוביץ, אפרים בלוך, שלמה שילוח",,,"משמר העמק, עין השופט, דליה",,,סיור,,מיליציה,Scouts,"פלמ""ח בוגרי קורס הסיור",,,,,,,"מטה הפלמ""ח",,"מגוייסים חדשים לפלמ""ח",,,,The 4th Battalion,,,"תנועה בלילה, חדירה ליעד, קרב לילה, לוחמה בשטח בנוי, שימוש בחומרי נפץ.",,,,,,,,,1948,1944,
Nahal Engineer Company,"Infantry, Nahal Brigade 933",,,,,,Center,,,,,,,,,,,,,,"פלחה""ן ספיר נח""ל",,,,,,,,,,,,,Nahal Engineer Company,,,,,,,,,,,Company,,,Nahal Engineer Company,,,,,,,,,,,,0,1992,
Druze Reconnaissance Unit 244,Infantry,,,,,,North,,,,,,,,,,,,,,סיירת שחר 244,,,,,,,,,,,,,Druze Reconnaissance Unit 244,,,,,,,,,Reconnaissance,,,,,Druze Reconnaissance Unit 244,,,,,,,,,,,,2015,1967,
Airborne Reconnaissance Platoon A,"Paratroopers, Paratroopers Brigade 35",,,,,,Center,,,,,,,,,,,,,,"סיירת הצנחנים הראשונה מחלקת הסיור של גדוד 890 ",Meir Har Zion (https://www.notion.so/Meir-Har-Zion-a85aba5fde8b4446b0312a94756d417a?pvs=21),,מאיר הר ציון,,"מיכה בן ארי קפוסטה, אהרון (ארול) אשל, מאיר יעקבי, יאיר תל צור, שמעון כהנר (קצ'ה).",,תל-נוף,,,,,,Airborne   (890),,,,,,,,,Airborne,,Company,מחלקת סיור על בסיס לוחמי 101,,Airborne   (890),,,,,,,,,,,,1954,1954,
Intelligence 188,Intelligence,,,,,,AMAN,,,,,היומינט,,איחוד עם המוסד יחידת קיסריה,,,,AMAN,,,"יחידה 188 אמ""ן",,,,"וסק'ה יריב (שכונה ""דן""), סגנו גדליה
חלף ושמעון סומך (""סמעאן"")",,,,,,,,,Intelligence 131,,,,,,,"Bergman, Ronen. 2018. Rise and Kill First: The Secret History of Israel’s Targeted Assassinations. Random House Publishing Group. ",ריגול,HUMINT,,,,,Mossad,קיסריה,22,,,,,,,,,יומינט,0,1955,
Yamas Aravah,"Police, YAMAS",,,,,,South,,,,,צליפה מרדפים מוסקים,סיוע למשטרה מאבק בפשיעה - בתוך ישראל,,,מקצועי קבע,,,,,"ימ""ס ערבה בעבר עזה מסתערבים ",,,,,,"נמוכה - בט""ש",,,,,,,Yamas Aravah,"השראה: שקד, זיקית, רימון",,,,,,,דרום,,"גיבוש בן שלושה ימים אחרי שירות בצה""ל",,,,Yamas Aravah,,36,,,"חמישה חודשים ",,,,,,,0,1990,
"Commando 51🇬🇧 ",British Army,,,,,,North Africa,,,,,פעולות קומנדו בהתאם לדוקטרינה של הצבא הבריטי,,שינוי מדיניות הצבא הבריטי ביחס לחיילי קומנדו שאינם בריטיים,,,,British Army,,,יחידת הקומנדו 51 קומנדו המזרח התיכון 51 גדוד המוות,Israel Carmi (https://www.notion.so/Israel-Carmi-e5d8ed81108542f8aa104028d0090221?pvs=21),,לויטננט קולונל הנרי קייטר,"קארל כהנא, דב כהן",,גבוהה,"ג'ניפה, סמוך לסואץ"," 360 איש, מהם 240 יהודים ו-120 ערבים. הפיקוד היה בריטי",,קומנדו,,מקצועי,Commando 51,"אצ""ל, חיל החפרים, יחידות אחרות של יהודים וערבים בצבא הבריטי",,,,,,,צפון אפריקה,Commando,,,פלוגה,,Special Interrogation Group – SIG,"היחידה הגרמנית, צנחנים",16,"מגע ראשון עם האויב בחזית, איגוף האויב, חדירה לעורף האויב לניתוק קווי אספקה. ",,,"היחידה אומנה בשיטות של לוחמה זעירה באימונים מפרכים שנערכו במשמעת צבאית נוקשה. האימונים כללו שחיה, חתירה, רכיבה על גמל, לחימה פנים אל פנים, חבלה, סיור, הפעלה של מגוון כלי נשק.",,,,"מלחמת העולם השניה. ברדיה - לוב, אתיופיה, אריתריאה",,1941,1940,
"Givati Anti-Tank Company ","Givati Brigade 84, Infantry",,,,,,South,,,,,,,,,,,,,,עורב גבעתי,,,,,,,,,,,,,Givati Anti-Tank Company,,,,,,,,,ATM,,Company,,,Givati Anti-Tank Company,,,,,,,,,,,,2002,1984,
Sayeret Charuv 484,"Central Command, Regional",,,,,,Center,,,,,"המנעה בט""ש","לוט""ר",,,,,,,הוקמה כמחלקת סיור ביחידת המודיעין של חטיבת הצנחנים הסדירה 35,סיירת חרוב 484,,,חזי יחזקאל שלום,,,נמוכה,,,,,,,Sayeret Haruv 484,צנחנים,,,,,,,מרכז,Preventive,,,,,Sayeret Haruv 484,,,"סגירה על החודרים באמצעות גששים כל גילוי של חדירה היו אנשי הסיירת סוגרים על המחבלים בעזרת מסוקים וגשש. הם היו עולים על עקבות המסתננים, מחשבים את נתיב החדירה וקצב ההתקדמות, ואז נוחתים בנקודה מסוימת ומציבים מארב. במקרים אחרים היו מגלים איכן הסתיימו העקבות ומסתערים לעבר היעד.",,,,,,,,,1974,1966,
7 Armor Reconnaissance Company,"7 Armored Brigade, Armor",,,,,,North,,,,,"איסוף מודיעין, איתור איומים וביצוע משימות מיוחדות- רגליות ורכובות, פתיחת תאי שטח לחטיבת השיריון","הכוונת מסק""רים וכוחות, תקיפת יעדים ועוד",,,,,,,,"פלס""ר 7",,,,,,גבוהה,,,,,,,Palsar 7 Armored Reconnaissance Company,"פלס""ר 7",בינונית,,,,,,"מטכ""לי",Armor Reconnaissance,"גיוס לשריון, פרופיל וקב""א גבוהים, גיבוש",Company,,,Refaim,"פלס""ר 401, 188",,"טירונות חי""ר עם אגוז, אימון מתקדם, הכשרה ביחידה לוחמה בשטחים שונים, ניווט, הסוואה, איסוף מודיעין קרבי, קורס סיור ייעודי ",,14 חודשים,,,,"ג'יפים - חמישיות, האמרים","במלחמת לבנון השניה היחידה הכווינה מסק""רים ולא טנקים","חי""ר, אמצעי תצפית וסיור",2021,1986,
Divers,"Palmach, Palyam",,,,,,Navy,,,,,הפעלת מכשירי צלילה אוטונומיים,,נטמעה בשייטת 13,,,,,,מלחמת העצמאות,הצוללים,,,יוסף דרור,,הקומנדו הימי האיטלקי הפשיסטי,,,,,,,מיליציה,Divers,"פלי""ם",,,,,,,,Naval,,,,,Flotilla 13,שייטת 13,,,,,,,,,,,1948,1948,
Duchiphat Hoopoe Anti-Tank Company 94,ATM,,,,,,Center,,,,,"נ""ט טאו","עם פרוץ האינתיפאדה הראשונה בט""ש","מרד ביחידה בשל הפעלתה כיחידת בט""ש ולא נ""ט",,,Dissolved,Kfir Brigade,,לקחי מלחמת יום הכיפורים,"דוכיפת יחידת נ""ט/יחנ""ט 94",,,,"עופר אילות, שרון דוידוביץ'",,גבוהה,,,,,,,Duchiphat Hoopoe Anti-Tank Company 94,,נמוכה,,,,,,,ATM,,,שתי פלוגות,,Duchiphat Hoopoe Anti-Tank Company 94,גדוד חיל רגלים ממוכן תחת פיקוד חטיבה 401 של חיל השריון,," טירונות חיל רגלים, טירונות יחידה של שבועיים ואימוני המשך מסלול בלוחמה נגד טנקים, בניווט ובאימוני חיל רגלים מתקדמים",,,,,,,,,1992,1984,
SLA Reconnaissance,,,,,,,,,,,,"כוח מיוחד של תושבי דרום לבנון שינהל מלחמת גרילה על פי ההנחיות ותחת הפיקוח של צה""ל",,,,,,,,"הסתבכויות מבצעיות ודיפלומטיות של פשיטות צה""ל בלבנון","הסיירת המיוחדת של צד""ל כוח אבו-ליל",Yehuda Danguri (https://www.notion.so/Yehuda-Danguri-56af878451c14dad93249666f2e56d31?pvs=21),,יהודה דנגורי,,מייג'ור סעאד חדד ראה ביחידה את פלוגות הלילה המיוחדות של דרום לבנון והשווה את דנגורי לוינגייט.,,מרג' עיון,16 לוחמים,,,,,,504,,,,,,,צפון,,,,,,,,,,,,,,,,,,0,1978,
Combat Engineering Reconnaissance Platoon 605,"Combat Engineering Reconnaissance Platoons, Engineering",,,,,,North,,,,,"איסוף מודיעין הנדסי, סריקת שטח","בט""ש",,,,,,,,"מחס""ר מחץ 605 ",,,,,,גבוהה נמוכה,,,16 לוחמים,,,,Combat Engineering Reconnaissance Company 605,,,,פלס-סייר,,,,,,"בעבר לוחמים מצטיינים בגדוד, איתור מיוחד בעת גיבוש יהלם",,,,Combat Engineering Reconnaissance Company 605,,,"לוחמה, ניווטים, קורס מודיעין וסיור, הסוואה, פריצה , חבלה וקרב מגע, במסגרת האימון המתקדם.",,,,,,האמרים,,"אמצעי תצפית תרמי ""עמית"" ו""עמית-איכון"", וכן ""ערמון"" - משקפת הנדסית עם מד טווח לייזר, אמצעים מסווגים לניתוח קרקע ורמת עבירות. ",0,1977,
Visual Intelligence Battalion,Field Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Intelligence Battalion 1996,,,,,,,"Asher, Daniel 2013. Field Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps.",,SAM,,Battalion,,,Visual Intelligence Battalion 1996,,,,,,,,,,,,0,1996,
Gideon Sword Police 33 - Jerusalem District,Police,,,,,,Jerusalem,,,,,,,,,,,,,,גדעונים יחידה 33,,,,,,,,,,,,,Gideon Sword Police - Jerusalem District,,,,,,,,,,,,,,Gideon Sword Police - Jerusalem District,,,,,,,,,,,,0,1990,
"Matilan Border Patrol - intelligence, observation, interception, mobile warfare",Police,,,,,,North,,,,,"יירוט ולוחמה ניידת. איסוף מודיעין מבצעי בתחומי פח""ע., מארבים, תצפיות",איסוף מודיעין מבצעי בתחום הפלילי,,,,,,,,"מתיל""ן ",,,,,,"נמוכה - בט""ש",,,,,,,"Matilan Border Patrol - intelligence, interception, mobile warfare, observation",מושווה ליחידת אגוז,,,,,,,"רמון, ירושלים שפלה",,"חיילים סדירים, השלמת טירונות, גיבוש בן יום",,,,"Matilan Border Patrol - intelligence, interception, mobile warfare, observation",,,"מארבים, תצפיות, יירוט, לוחמה ניידת ",,טירונות רובאי חמש קורס של חמישה שבועות,,,,,,,0,1996,
General Staff Visual Intelligence Unit - Lebanon Company,Field Intelligence,,,Field Intelligence - Daniel Asher 141.jpg (https://dl.airtable.com/QlfCi3fjS66hqRdZ6Ymo_Field%20Intelligence%20-%20Daniel%20Asher%20141.jpg),,,North,,,,,,,,,,,,,הצורך באיסוף מודיעיני ויזינטי בדרום לבנון,"יחידת תצפיות מטכ""לית (ית""מ) פלוגה בלבנון",,,,,,,,,,,,,General Staff Visual Intelligence Unit - Lebanon Company,,,,,,,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps. P140",,Visint,,,,,General Staff Visual Intelligence Unit - Lebanon Company,,,,,,,,,,,,0,1985,
Sayeret Matkal 262 269,Intelligence,,,,,,General,,"חרוב, שקד",,,,,,,,,"AMAN, Special Operations",,,"סיירת מטכ""ל","Alik Ron (https://www.notion.so/Alik-Ron-44dac5ab90994c8ea23871e229e38fac?pvs=21), Aharon Erol Eshel (https://www.notion.so/Aharon-Erol-Eshel-8d7d49a4b25a46bd9c1184d39089b9c7?pvs=21), Avraham Arnan (https://www.notion.so/Avraham-Arnan-6ce7287672a04b41961fcebd94d7cd89?pvs=21), Danny Yatom (https://www.notion.so/Danny-Yatom-fd43f4ba0bfa44d3ad47ccb56e5a456f?pvs=21), Ehud Barak (https://www.notion.so/Ehud-Barak-338f51103362452f8378bd1fff203d4e?pvs=21), Ehud Yatom (https://www.notion.so/Ehud-Yatom-80f7d5e820094be9bdeec29d5ed52cad?pvs=21), Eli Gil - Daud (https://www.notion.so/Eli-Gil-Daud-71b30e18ace247068f889d4430b4ded3?pvs=21), Giora Zorea (https://www.notion.so/Giora-Zorea-90c9b39057d24d7baf3322e5aa633c10?pvs=21), Menachem Digli (https://www.notion.so/Menachem-Digli-30886ff4578f47c49ebcf2adde907e93?pvs=21), Micha Ben-Ari Kaposta (https://www.notion.so/Micha-Ben-Ari-Kaposta-d947797dc4cf46d4843114cb33ce50b1?pvs=21), Muki Betser (https://www.notion.so/Muki-Betser-24f4d13a47ba47449fa3bcf55636a999?pvs=21), Yonatan Netanyahu (https://www.notion.so/Yonatan-Netanyahu-5daf83b6c11e41be9e1be6050c23452a?pvs=21), Yossi Gino (https://www.notion.so/Yossi-Gino-3989e06ebf034aba8ddfa65f77d23d34?pvs=21), Shay Avital (https://www.notion.so/Shay-Avital-6496f8755aaa45118236e3b6ac244b9a?pvs=21)",,"אברהם ארנן, מאיר הר ציון",מיכה בן-ארי,SAS,,,,,,,,,"154, סיירת צנחנים",,,,,,"Kfir, Ilan; Dor, Danny. Barak. Barak Wars of My Life. Or Yehudah: Kineret; Zemorah-Bitan.",,SIGINT,,,,,Sayeret Matkal 262 269,שלדג,"35,22",,,,,,,מסוקים,,,0,1957,
124 Squadron Flipping Sword Squadron,Air force,,,,,,,,,,,,,,,,,,,,,Uri Yarom (https://www.notion.so/Uri-Yarom-e7ad09d40a0545a8bcc1d6d6871268e6?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,
SAMAG,Police,,,,,,,,,,,הפרות סדר על רקע בטחוני או פלילי,טיפול בחומרים מסוכנים,,,,,,,,"סמ""ג סיירת משמר הגבול",,,,,,"נמוכה - בט""ש",,,,,,,,,,,,,,,,,"חיילים סדירים, השלמת טירונות, גיבוש בן יום",,,,,,,,,,,,,,,,0,1983,
"Yaltam Underwater Missions ",Navy,,,,,,Navy,,,,,"ריתוך וחיתוך תת-מימי, תיקון של כלי שיט של חיל הים מתחת לפני המים","חבלה וסילוק פצצות תת-מימיות, חילוץ והצלה",,,,,,,"הקמה רשימית אפריל 1980. הכרה בצורך ביחידה מקצועית לפעילות תת מימית מקצועית בעיקר איתור כלי טיס שהופלו ואח""י דקר","ילת""ם יחידה למשימות תת-מימיות",,,דני אבינון,,,,,,,,,,Defensive Divers 707,"707, שייטת 13, היחידה המקצועית",,,,,,,,Defensive Diving,גיבוש בן יומיים לחיילים סדירים אך בעיקר חיילי קבע יוצאי השייטת וצוללים מקצועיים שעברו הכשרה לעבודה תת-ימית,,קבוצה קטנה של אנשי קבע בוגרי 707,,,,,"רובאי 02, האימונים כוללים מסעות, צלילות בכל שעות היום והלילה, שחייה למרחקים ארוכים, טילוף-שחייה עם סנפירים, אימוני ניווט תת-מימיים, צלילות ממושכות",,"12 חודשים ",,,,ספינת אם,,"פעמוני צלילה, רובוטים לצלילה ולעבודה תת-ימית - הראשון סקורפיון",,1978,
Military Intelligence Directorate,IDF,,,,,,,,,,,,,,,,,,,,,"Aharon Yariv (https://www.notion.so/Aharon-Yariv-981e6c12f0254c08842952d0a0183299?pvs=21), Binyamin Gibli (https://www.notion.so/Binyamin-Gibli-8c874a11024f4fbcb36ee752040a5609?pvs=21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,
Filed Companies,Haganah,,,,,,North,,,,,הגנה דינאמית על צינור חברת הנפט העיראקית,תפישת עולמו הציונית של וינגייט הביאה אותו לגלות דאגה רבה גם לגורל הישובים היהודיים שהותקפו,"מעבר למשמר הנע, צביון פוליטי, מאבקי כוח עם ההגנה",,,,Haganah,,המרד הערבי,פלוגות השדה,,"Moshe Dayan, Yitzhak Sadeh, Yigal Allon",יצחק שדה,"יגאל אלון, משה דיין",,נמוכה,,,,הגנה דינאמית,,מיליציה,Mobile Guard,הנודדת,גבוהה,,,,,,,Preventive,,,,,Filed Companies,,15,לוחמה זעירה,,חמישה ימים,,,,טנדרים,,"תתי מקלעים, מקלעי לואיס, אקדחים, רימונים",1939,1937,
