ID,Name copy,Notes,Status,Year Established,Year Disbanded ,Individuals,References,Predecessor,Successor,Affiliation,Location,Branch,Command,Rrole,Bibliography Attachment,Bibliography,Audio-video,תאריך הקמה,מאפיינים מבצעיים,מאפיינים ארגוניים,נסיבות הקמה,נסיבות פירוק,ייעוד עיקרי,ייעוד משני,פיקוד,זרוע,יחידת אם - לניתוח רשתות,יחידות ממשיכות - לניתוח רשתות,יחידות מתחרות,מייסד היחידה עבור ניתוח רשתות ובדיקת השערת הכרימזה,מפקדים בולטים עבור ניתוח רשתות ובדיקת השערת הכרימזה,מקור השראה,טיפוח תדמית תרבות ארגונית,מידת יוקרה תרבות ארגונית,INDIVIDUALS copy,Field 37
Commando 51,Commando 51,יחידת הקומנדו 51 קומנדו המזרח התיכון 51 גדוד המוות,Elite,1940,1941,"Karl Kahana,Israel Carmi",,,Special Interrogation Group – SIG,British Army,,British Army,North Africa,Commando,"commando 51.jpg (https://dl.airtable.com/7GMPU2pqRV2cHffjivod_commando%2051.jpg),Warrior's path.jpg (https://dl.airtable.com/dtBUFl48RimxlVJjmgDI_Warrior's%20path.jpg)",https://www.wikiwand.com/he/%D7%99%D7%97%D7%99%D7%93%D7%AA_%D7%94%D7%A7%D7%95%D7%9E%D7%A0%D7%93%D7%95_51,,,קומנדו,מקצועי,מלחמת העולם השניה,שינוי מדיניות הצבא הבריטי ביחס לחיילי קומנדו שאינם בריטיים,פעולות קומנדו בהתאם לדוקטרינה של הצבא הבריטי,,צפון אפריקה,הצבא הבריטי,"אצ""ל, חיל החפרים, יחידות אחרות של יהודים וערבים בצבא הבריטי","היחידה הגרמנית, צנחנים",,לויטננט קולונל הנרי קייטר,"קארל כהנא, דב כהן",,,,"Karl Kahana, Israel Carmi",
The Syrian Platoon,The Syrian Platoon,המחלקה הסורית ,Elite,1940,1943,Yigal Allon,,Filed Companies,The Arab Squad,Palmach,,Palmach,North,Deep Reconnaissance,,,,,מודיעין/לוחמה זעירה,מיליציה,מלחמת העולם השניה הצבא הבריטי היה מעוניין בחוליות שיפעלו בעורף נאויב במקרה של כיבוש גרמני במתכונת ה-SOE ,"מאבק בין הפלמ""ח והצבא הבריטי על השילטה ביחידה ",פעולות מסוערבות במדינות ערב בשירות הצבא הבריטי במתכונת ה-SOE,פעולות מסוערבות בפלשתינה בשירות ההגנה,,הסוכנות היהודית ומנהלת המבצעים המיוחדים (Special Operations Executive; SOE),"פלמ""ח",מסתערבים,,"טוביה ארזי, יגאל אלון, ירוחם כהן","שמעון סומך, חיימקה לבקוב",תאודור וון היפל - צבא גרמניה,גבוהה,,Yigal Allon,
Boom Defense,Boom Defense,יחידת הגנת הנמל - Boom Defense,Conventional,1941,,,,Boom Defense,Boom Defense,,,Haganah,,,,,,,הגנה דינאמית,מיליציה,מלחמת העולם השניה,,"הגנת הנמל מצוללות, סירות נפץ ואנשי קומנדו ימי איטלקים",הברחת נשק עבור ההגנה,,"הצבא הבריטי, ההגנה","הגנה, צבא בריטי",,,דוד הכהן,"מוריס אריה, לובה אליאב",,,,,
Palmach,Palmach,"פלמ""ח",Conventional,1941,1948,"Yitzhak Sadeh,Yitzhak Sadeh - Wikipedia",,Filed Companies,IDF,Haganah,,Palmach,,,,,,15 במאי,,מיליציה,מלחמת העולם השניה,"הקמת צה""ל",הגנה על היישוב נוכח התקדמות הצבא הגרמני לפלשתינה,בסיס לצבא,,"הצבא הבריטי, ההגנה","הגנה, נודדת, פו""ש","צה""ל",הבריגדה היהודית,יצחק שדה,"יגאל אלון, משה דיין",,גבוהה רוח היחידה כמכשיר גיוס היחידות המיוחדות כמשיר מגייס,גבוהה,Yitzhak Sadeh,
Scouts,Scouts,הסיירים,Elite,1941,1942,,,,The 7th Company,Palmach,,Palmach,,Reconnaissance,,,,,סיור,מיליציה,,,"סיור בנתיבים המובילים לשטח האויב, ציוד המפקד בידע מכסימאלי לגבי מה שעתיד לעמוד לפניו: לדווח לו מהם פני השטח, מהי עוצמת הכוחות שעומדים מולו ומהו מרחב התמרון של חייליו במהלכם בשטח.",,,מודיעין שדה,,,,,,,,,,
The German Platoon,The German Platoon,המחלקה הגרמנית,Elite,1941,1947,,,,The Balkan Platoon,Palmach,,Palmach,North,Clandestine,,,,,מודיעין/לוחמה זעירה,מיליציה,מלחמת העולם השניה,צירוף לבריגדה היהודית,פעילות מודיעין וחבלה בשטחים כבושים על-ידי גרמניה וביחידות גרמניות בשירות הצבא הבריטי,"סיוע להעפלה, פעולות נקם בגרמנים",,"ההגנה, ה-SOE","הגנה, הצבא בריטי",,,שמעון אבידן (קוך),"יהודה בן-חורין (בריגר), אהרון יריב (רבינוביץ'), אברי אלעד","קשה לקבוע, אנשיו של סקורנצי פעלו באופן דומה",,,,
Special Interrogation Group – SIG,Special Interrogation Group – SIG,היחידה הגרמנית יוצאי גדוד 51 Special Interrogation Group – SIG,Elite,1942,1942,,,Commando 51,SAS,British Army,,British Army,North Africa,Commando,,https://www.wikiwand.com/he/%D7%A7%D7%91%D7%95%D7%A6%D7%AA_%D7%94%D7%97%D7%A7%D7%99%D7%A8%D7%95%D7%AA_%D7%94%D7%9E%D7%99%D7%95%D7%97%D7%93%D7%AA,,מרץ,קומנדו,מקצועי,מלחמת העולם השניה,,פעולות קומנדו מאחורי הקויים הגרמנים,,צפון אפריקה,הצבא הבריטי,גדוד 51,,,"קפטן בק, לוטאנאט ראסל","קארל כהנא, איתן שפיר, ישראל כרמי",,,,,
The Arab Squad,The Arab Squad,"הכיתה הערבית של הפלמ""ח",Elite,1942,1948,,,The Syrian Platoon,Masqueraders,Palmach,,Palmach,Haifa,HUMINT,,,,,מודיעין/לוחמה זעירה,מיליציה,,צירוף לפלוגת השחר,,,,"פלמ""ח","פלמ""ח",פלוגת שחר,,יצחק חנקין,"יעקובה כהן, יוסף בן סעדיה, סעדיה סעיד, יוסף גיאת, דוד קומם (קיפניס), גיורא זייד, יוסקה יפת (כל הארץ), יהודה פרנקו",,גבוהה,,,
Masqueraders,Masqueraders,"היחידה הערבית של הפלמ""ח מסתערבים מחלקת השחר",Elite,1943,1948,,,The Arab Squad,"Intelligence 13 Wing,Intelligence Service 18 805",Palmach,,Palmach,Haifa,Deep Reconnaissance,,,,אביב,מודיעין/לוחמה זעירה,מיליציה,"גיבוש הפלמ""ח ככוח הצבאי הפורמאלי של היישוב, מיזוג הכיתה הערבית והמחלקה הסורית","סכסוך בין ראש אמ""ן בנימין גבלי ולוחמיה","איסוף מודיעין בקרב ערביי א""י ומדינות ערב בלא להסתמך על מקורות יומינטיים ערביים","הפעלת כוח מיוחד שיכול הן לאסוף מודיעין (לימים סיירת מטכ""ל) והן לבצע פעולות חבלה בעורף האויב",,"פלמ""ח",המחלקה הסורית,"היחידה המבצעית של אמ""ן (יחידה 188 לשעבר 131)  קיסריה, סיירת מטכ""ל, 504, המסתערבים",לא תחרות אך הסתייגות והעדר תמיכה מצד אנשי המחלקה המדינית של הסוכנות,ירוחם כהן,"שמעון סומך, יעקב נמרודי, יעקב-זק צביה, אהרון ספקטור, רחביה ברמן",,גבוהה,,,
The Balkan Platoon,The Balkan Platoon,המחלקה הבלקנית,Elite,1943,1945,,,,The Balkan Platoon,"Palmach,British Army",,Palmach,,Sabotage,,,,,מודיעין/לוחמה זעירה,מיליציה,מלחמת העולם השניה,,"עבור הפלמ""ח הצנחת עולים ואנשי הגנה ברומניה, בולגריה, סלובקיה, יוגוסלביה והונגריה במטרה ליצור קשר עם מתחרות יהודיות ולקחת חלק במבצעי מודיעין, הצלה וגרילה נגד הנאצים",עבור הצבא הבריטי - הברחת טייסים בריטים ואמריקאיים ממחנות שבויים לאיסטנבול,"ההגנה, הצבא הבריטי",,"פלמ""ח",צנחני היישוב,,שמואל גבעון (הקר),,,,,,
Jewish Paratroops,Jewish Paratroops,צנחני הישוב,Elite,1944,1944,,,"The German Platoon,The Balkan Platoon",,"Palmach,British Army",,British Army,Europe,Commando,,,,,מודיעין/לוחמה זעירה,שילוב,מלחמת העולם השניה,,החדרת סוכנים של ההגנה לשטחי כיבוש נאצים,,דרום מזרח אירופה,"הצבא הבריטי, ההגנה","פלמ""ח, הבריגדה היהודית",,,דן לנר,"חנה סנש, חביבה רייק, חיים אנצו סירני, חיים יערי ולנדר",,,,,
Reconnaissance Company 7,Reconnaissance Company 7,יחידת סיירים פלוגה ז,Elite,1944,,,,Scouts,The 4th Battalion,Palmach,,Palmach,,,,,,,סיור,מיליציה,"הקמת יחידות הפלמ""ח",נפילת רבים מחברי המחלקה בקרבות נבי סמואל,סיור בעומק שטחים ערביים ,פעילות נגד מטרות בריטיות,"מטה הפלמ""ח",,"פלמ""ח בוגרי קורס הסיור",,,יוחנן זריז,"דוד גורפינקל, יוסקה יהלום, אריה שחר (שורצמן), יהודה שליין, משה ברקוביץ, אפרים בלוך, שלמה שילוח",,,,,
The 4th Battalion,The 4th Battalion,הגדוד הרביעי גדוד המטה,Elite,1944,1948,,,,The 4th Battalion,Palmach,,Palmach,Center,Reconnaissance,,,,,,מיליציה,,,,,,,,,,,,,,,,
The 7th Company,The 7th Company,"פלוגה ז של הפלמ""ח",,1944,1948,,,Scouts,The 7th Company,Palmach,,Palmach,North,Intelligence,,,,ינואר,סיור,מיליציה,"נועדה לרכז את כול היחידות המיוחדות הערבית, הגרמנית, הבלקנית, הטייסים, והימית.",לטפח את מקצוע הסיירות,,,,,"פלמ""ח",,,"שמעון אבידן (קוך), חיים זינגר (רון)",,,,,,
Palyam Sea Company,Palyam Sea Company,"פלי""מ - החוליה לחבלה ימית",,1945,1948,,,Palyam Sea Company,Flotilla 13,,,Palyam,Navy,Naval,,,,1 בנובמבר,לוחמה זעירה,מיליציה,המגבלות של הבריטים על העליה,"פירוק הפלמ""ח",סיוע למעפילים,פעילות חבלה נגד מטרות ערביות במהלך מלחמת השחרור,,"מפ""ם, אחדות העבודה, הגדוד הרביעי של הפלמ""ח","פלמ""ח הגדוד הרביעי","השירות הימי, שייטת 13",,יוחאי בן-נון,,,"גבוהה, בני מרשק, חיים חפר, דן בן אמוץ",,,
Negev Animals 1 Shiloni,Negev Animals 1 Shiloni,חיות הנגב מחלקת שילוני,,1947,1948,,,Negev Animals 1 Shiloni,Negev Animals 1 Shiloni,,,Palmach,South,,,,,20 בדצמבר,סיור/לוחמה זעירה,מיליציה,תכנית החלוקה,,הגנה על קווי המים ועל הדרכים שבין היישובים,,דרום משמר הנגב,"הגדוד השני פלמ""ח","פלמ""ח, מ""ן","פלוגת הסיור, גדוד 9, חטיבת הנגב",,שמחה שילוני,דודק'ה מגן ,,"כינו את עצמם ""חיות הנגב"" והחליטו שהגמל יהיה סמלם",,,
Negev Animals 2 Beeri,Negev Animals 2 Beeri,חיות הנגב מחלקת בארי,,1947,1948,,,Negev Animals 2 Beeri,Negev Animals 2 Beeri,,,Palmach,South,,,,,,סיור/לוחמה זעירה,מיליציה,תכנית החלוקה,,אבטחת קוו המים המערבי,,דרום גזרה מערבית,"הגדוד השני פלמ""ח","פלמ""ח","פלוגת הסיור, גדוד 9, חטיבת הנגב",,,,,עכברי המדבר,,,
Port Company,Port Company,פלוגת הנמל,,1947,1948,,,,,,,Palyam,Navy,Defensive,,,,,הגנה דינאמית,מיליציה,הטבח בבתי הזיקוק,,הגנה על פועלי נמל חיפה היהודים,"רכש עבור חיל הים העתידי, לחימה בקרבות לשחרור חיפה",,"פלי""ם, הגדוד הרביעי של הפלמ""ח","פלי""ם","שייטת 13, מדור בקרת נזקים, 707",,,אדמונד וילהלם ברילנט,,,,,
17 Armored Reconnaissance Gunda,17 Armored Reconnaissance Gunda,"פלס""ר 7",,1948,1953,,,Golani 19 Battalion,9 Armored Brigade,,,Armor,North,Armor Reconnaissance,,,,,,,,קרב החרמונית מלחמת יום כיפור,"פתיחת הציר לפני החטיבה, איתור ונטרול מארבים וכוחות אויב",איסוף מודיעין קרבי,,שריון,חטיבה 7,"פלס""ר 7, 401, 188",,,,,,בינונית,,
Barak Battalion 12 Golani Brigade Commando Company,Barak Battalion 12 Golani Brigade Commando Company,גולני גדוד ברק 12,Elite,1948,1948,Rafi Kotzer,Tree and Dagger – Battle Path of the Golani BrigadeMa'arakhot Publishing,Barak Battalion 12 Golani,,,,Infantry,North,Commando,,,,פברואר,,,מלחמת השחרור,,,,צפון מזרח,,"פלוגות חי""ש, פל""מים ונוטרים מבקעת כנרות, עמק הירדן והגליל התחתון מחלקת הקומנדו",,,,"יצחק ברושי, רפי קוצר",,,,Rafi Kotzer,
Battalion 19 Golani Brigade Raiders Platoon,Battalion 19 Golani Brigade Raiders Platoon,גולני גדוד 19,Elite,1948,1949,Meir Amit,Tree and Dagger – Battle Path of the Golani BrigadeMa'arakhot Publishing,Barak Battalion 12 Golani,,,,Infantry,North,Reconnaissance,,,,פברואר,,,מלחמת השחרור,,,,צפון מזרח,,"פלוגות חי""ש, פל""מים ונוטרים מבקעת כנרות, עמק הירדן והגליל התחתון מחלקת הקומנדו",,,,"יצחק ברושי, רפי קוצר",,,,Meir Amit,
Bomb Disposal Unit 1948,Bomb Disposal Unit 1948,"יחס""פ",,1948,1995,,,Bomb Disposal Unit 1948,Bomb Disposal Unit 1948,,,Engineering,General,Bomb disposal,,,,,,,מלחמת השחרור,,,,,,סלקי פצצות יהודים בצבא הבריטי,"סיירת יעל, יהלם, מחס""רים",,"עמנואל שחר, רודי (ראובן) שפלן",מרדכי מרון,,,,,
Commando Battalion 75 French Commando,Commando Battalion 75 French Commando,הקומנדו הצרפתי גדוד 75,,1948,1948,Thadée Diffre,,Commando Battalion 75 French Commando,Commando Battalion 75 French Commando,,,Palmach,South,Commando,,,,אוגוסט,,,מלחמת השחרור,נטמע בגדוד הפשיטה התשיעי,,"אחרי המלחמה אבטחת גבולות מרחב הנגב; מארבים, מיקוש צירי תנועה",,"פלמ""ח - גדוד פשיטה 9",,התמזגה בגדוד 9,,טדי דיופרה (איתן),"יעקב דומבורובסקי, הרב פימה מימון",,,,Thadée Diffre,
Commando Battalion 89,Commando Battalion 89,גדוד קומנדו 89,,1948,,Moshe Dayan,,Commando Battalion 89,Commando Battalion 89,,,Palmach,Center,Raid,,,,27 במאי,,,מלחמת השחרור,"פירוק הפלמ""ח",גדוד פשיטה ממוכן,,,"פלמ""ח צה""ל חטיבה 8","חטיבה 8 של הפלמ""ח",,,משה דיין,"יוחנן פלץ, טדי דיופרה (איתן)",,,,Moshe Dayan,
Divers,Divers,הצוללים,,1948,1948,,,Divers,Flotilla 13,,,Palyam,Navy,Naval,,,,,,מיליציה,מלחמת העצמאות,נטמעה בשייטת 13,הפעלת מכשירי צלילה אוטונומיים,,,,"פלי""ם",שייטת 13,,יוסף דרור,,הקומנדו הימי האיטלקי הפשיסטי,,,,
Intelligence Service 18 805,Intelligence Service 18 805,"ש""מ 18 יחידת הסוכנים של שירות המודיעין של צה""ל",,1948,1950,,The History of Israeli Intelligence,Intelligence Service 18 805,Intelligence Service 18 805,,,Intelligence,AMAN,Spyware and sabotage,,,,,מודיעין/לוחמה זעירה,,,,,,,מודיעין,מסתערבים - שחר,,,"סומך, שמריה גוטמן",,,,,,
Maritime Demolition Unit,Maritime Demolition Unit,יחידת החבלנים – קיסריה,,1948,1948,,,Maritime Demolition Unit,Flotilla 13,,,Palyam,Navy,Naval,,,,,,מיליציה,מלחמת העצמאות,נטמעה בשייטת 13,הפעלת סירות נפץ,,,"פלי""ם",החוליה לחבלה ימית,"השירות הימי, שייטת 13",,יוחאי בן נון,"יגאל וייס,שאול אורן, אברמוב זלמן, ארד שרגא, ברוקמן יצחק, הוכברג צבי, וינטרוב דב, ורדי יעקב, זלינגר חנוך, טובלין זרובבל, סגל שלמה, ריטוב יעקב ושביט אברהם",הקומנדו הימי האיטלקי הפשיסטי המדריך קפריוטי,,,,
Naval Commandos,Naval Commandos,הקומנדו הימי יחידת המתאבדים של אסקימו,,1948,1948,,,Naval Commandos,Flotilla 13,,,Palyam,Navy,Naval,,,,מאי,,מיליציה,,,,,,השרות הימי,השירות הימי,שייטת 13,,אורי ברכמן-שילה,אהרן בן-יוסף,,,,,
Paratroopers 1948,Paratroopers 1948,יחידת הצנחנים הראשונה,,1948,1949,,,Paratroopers 1948,Paratroopers 1948,,,Infantry,Haifa,Airborne,,,,2 בספטמבר,,"חי""ר",מלחמת העצמאות,"המשמעת הרופפת ותאונות האימונים הקטלניות הביאו את המטה הכללי להחלטה כי יש להחליף את המפקד, לנפות את מרבית הקצינים והחיילים ולבנות יחידה חדשה",הכשרת צנחנים למשימות מעבר לקווי האויב.,,,צנחנים,"צנחני הישוב, יוצאי גדוד 51, פלמ""ח",צנחנים,,יואל פלגי,"קרל כהנא, יצחק ספקטור, חיים גורי, דן אבני, יוסף אגסי, דב אל-עמי, שמשון בר-נוי (נוימן), חיים גורי (גורפינקל), י. גלר, יצחק גרינולד, ראובן דרוסקין, יעקב וידיסלבסקי, ב. כהן, קרל כהנא, ארתור לנדמן, י. קופרשטיך, ושמואל קריינר.",,,נמוכה,,
Reconnaisance Platoon Golani,Reconnaisance Platoon Golani,סיירת גולני,,1948,2001,,,Reconnaisance Platoon Golani,Reconnaisance Platoon Golani,,,Infantry,North,Reconnaissance,,,,,,,,,,יחידת ההתערבות של פיקוד צפון,צפון,חטיבת גולני,פליטי חטיבת אלכסנדרוני,101,,,"צבי עופר, חיים ארדיטי",,,,,
Reconnaissance Company 9th Battalion,Reconnaissance Company 9th Battalion,פלוגת סיור גדוד הפשיטה הממוכן 9,,1948,1948,,,Reconnaissance Company 9th Battalion,Reconnaissance Company 9th Battalion,,,Palmach,South,,,,,28 במרץ,,"חיר""ם",מלחמת השחרור,"הקמת צה""ל","הפעלת זחלמ""ים עם תותחי 20 מ""מ כנגד משוריינים מצריים",,,,"פלמ""ח",חטיבה 7 חיל השריון,,ישראל כרמי,,,,,,
Samson's Foxes Givati,Samson's Foxes Givati,"שועלי שמשון - פלוגה ב', גדוד 54, גבעתי",,1948,1956,,,Samson's Foxes Givati,Samson's Foxes Givati,,,Infantry,South,Deep Reconnaissance,,,,,,"חיר""ם",מלחמת השחרור בעקבות התרשמות מהישגי חיות הנגב,,"חי""ר ממוכן",,דרום,"הגנה, צה""ל",חיל השדה,,,"שמעון אבידן, אריה שפק",,,שועלי שמשון,,,
Intelligence Unit 154,Intelligence Unit 154,"יחידה 154 קת""מ מודיעין 10",,1949,,,,Intelligence Unit 154,Intelligence Unit 154,,,Intelligence,AMAN,HUMINT,,,,,מודיעין/לוחמה זעירה,נמוכה,,,מודיעין,,פרישה ארצית ובמדינות יעד,מודיעין,"ש""י, שירות מודיעין 1","סיירת מטכ""ל, 504",,דוד קרון,"אברהם ארנן, אברהם כהן, יעקב (ז'ק) צביה, רחביה ורדי, חיים שדמי",,,נמוכה,,
Intelligence Unit 504,Intelligence Unit 504,יחידה 504,,1949,,,,Intelligence Unit 504,Intelligence Unit 504,,,Intelligence,AMAN,Operating agents,,,,,,,,,איסוף מידע מודיעיני באמצעות הפעלת סוכנים בקרבת גבולותיה של ישראל; חקירת שבויים שנופלים בשבי ישראל; מבצעים מיוחדים,,פרישה ארצית ובמדינות יעד,מודיעין,154,,"מוסד, שב""כ",,"יהודה דנגורי, יהושע בר תקווה",,,,,
Itelligence 132,Itelligence 132,יחידה 132,,1949,,,,,,,,Intelligence,AMAN,,,,,,,,,,,,,,,,,,,,,,,
Airborne Battalion 890 1950,Airborne Battalion 890 1950,"גדוד 890 במסגרת בה""ד 8 ביה""ס לצניחה",,1950,,,,Airborne Battalion 890 1950,Airborne Battalion 890 1950,,,Paratroopers,Center,,,,,,,,כישלון יחידת הצנחנים הקודמת,,הכשרת צנחנים,"לא הוגדר, עסקו בעיקר בבט""ש באיזור ירושלים, בהמשך פעולות תגמול.",,,,צנחנים,,יהודה הררי,"מסרל טוביאס, יצחק ולקר, ירחמיאל אבנון, קלמן מגן, יחיאל לוין, מרדכי ילישביץ, ברוך פרומקין, שבתאי אילון (אילוז), אברהם תמיר (סיומקין), גדעון ריבלין .",,,,,
Intelligence 13 Wing,Intelligence 13 Wing,ענף 13,,1950,1950,,,Intelligence 13 Wing,Intelligence 13 Wing,AMAN,,Intelligence,AMAN,Special Operations Command,,,,,,,"ענף מבצעים שמאחד את היחידות לפעולות מיוחדות, אמור היה לכלול את שייטת 13 וטייסת 13 שלא הוקמה",,,לחבל בהכנות מדינות ערב למלחמה ובכוננותן המלחמתית בימי שלום ומלחמה,,,,,,חיים יערי ולנדר,,"הוקם על פי המודל של ה-SOE - מדור לחתרנות מבצעית ללוחמה זעירה בעומק ארצות האויב, ומדור ללוחמה פסיכולוגית/תעמולה שחורה",,,,
Shayetet 13,Shayetet 13,שייטת 13,,1950,,Shaul Sela,,"Port Company,Palyam Sea Company,Divers,The 4th Battalion",,,,Navy,Navy,Naval Commando,,,,,לוחמה זעירה,,,,,,,ים,,,,,,,,,Shaul Sela,
Unit 30,Unit 30,יחידה 30,,1951,1952,Moshe Dayan,,Unit 30,Sayeret Shaked 424,,Unit 30,Regional,South,Preventive,,,,,,נמוכה,הסתננויות,,"הגנה דינאמית, המנעה","מיפוי, סיור, פעולות תגמול ",דרום,,חטיבת הנגב,שקד,,"אברהם לוין, חיים דים","בני ענבר, אהרון קמרה",,,נמוכה,Moshe Dayan,
Intelligence 131,Intelligence 131,יחידה 131,,1953,,,,,Intelligence 188,AMAN,,Intelligence,AMAN,HUMINT,,,,,,,,פרשת לבון,"פעילות בעת מלחמה בלב ארצות אויב, לזרוע בהן בהלה, לפגוע ברצון הלחימה של האוכלוסייה על ידי ביצוע פיגועים, הפצת תעמולה שחורה, ושיטות אחרות של לוחמה פסיכולוגית שנוסו במלחמת העולם על-ידי ה-SOE",ליחידה לא הוגדר תפקיד בתקופות שבין מלחמות,,"מודיעין כפיפות ישירה לראש ממ""ן",,,,,,,,,,
Unit 101,Unit 101,יחידה 101,,1953,1954,"Arik Sharon,Meir Har Zion",,Unit 101,Airborne   (890),,Unit 101,Infantry,Center,Retaliations,,,,אוגוסט,,מיון/הכשרה,הסתננויות,,פעולות תגמול,,,,החטיבה הירושלמית,צנחנים,,אריאל שרון,,,גבוהה,גבוהה,"Meir Har Zion, Arik Sharon",
