Name,Notes,Attachments,Predecessor,Successor,Affiliation,Year Established,Year Disbanded ,Branch,Command,Rrole,References,Bibliography Attachment,Bilbiography,Audio-video,תאריך הקמה,מאפיינים מבצעיים,מאפיינים ארגוניים,נסיבות הקמה,נסיבות פירוק,עוצמת קונפליקט,ייעוד עיקרי,ייעוד משני,בסיס,פיקוד,זרוע,הגדרת תפקיד,תנאי קבלה,תקופת הכשרה,הכשרה,טקטיקה,משך השירות,גודל הקמה,"סד""כ ראשוני",גודל בהמשך,"סד""כ בהמשך",נשק וציוד ייחודי,רכב,מלחמות מבצעים,יחידת אם - לניתוח רשתות,יחידות ממשיכות - לניתוח רשתות,יחידות מתחרות,מייסד היחידה עבור ניתוח רשתות ובדיקת השערת הכרימזה,מפקדים בולטים עבור ניתוח רשתות ובדיקת השערת הכרימזה,מקור השראה,טיפוח תדמית תרבות ארגונית,מידת יוקרה תרבות ארגונית,TOC,Individuals Glossary copy
Filed Companies,פלוגות השדה,"Yitzhak Sadeh, Yigal Allon, Moshe Dayan",Mobile Guard,Filed Companies,Haganah,1937,1939,Haganah,North,Preventive,,,,,,הגנה דינאמית,מיליציה,המרד הערבי,"מעבר למשמר הנע, צביון פוליטי, מאבקי כוח עם ההגנה",נמוכה,הגנה דינאמית על צינור חברת הנפט העיראקית ,תפישת עולמו הציונית של וינגייט הביאה אותו לגלות דאגה רבה גם לגורל הישובים היהודיים שהותקפו,,,"חיל הנוטרים, משטרת היישובים העבריים",,,חמישה ימים,,לוחמה זעירה,,,,,,"תתי מקלעים, מקלעי לואיס, אקדחים, רימונים",טנדרים,,הנודדת,,,יצחק שדה,"יגאל אלון, משה דיין",,,גבוהה,15,"Moshe Dayan, Yitzhak Sadeh, Yigal Allon"
Guards of the Trains and the Ports,"נוטרי מסילות הברזל, שדות התעופה והנמלים",,Guards of the Trains and the Ports,Guards of the Trains and the Ports,,1937,1939,Haganah,North,Preventive,,,,,,הגנה דינאמית,מיליציה,המרד הערבי,,נמוכה,שמירה על מסילות הברזל בשיתוף עם הצבא הבריטי במקרה שהמרד הערבי יתחדש. בעיקר מסילת הברזל בין חיפה ללוד,,,,"הצבא הבריטי, ההגנה",,,,,,,,"723 מגויסים, מרביתם לא מההגנה. 434 נקראו לשירות ב-1938",,,,,,,,,,,,,,,
Mobile Guard,המשמרות הנעים פלוגה נודדת ופלוגה מעופפת,Yitzhak Sadeh,Nodedet in Jerusalem,Filed Companies,Haganah,1937,1939,Haganah,North,Preventive,,,,,,הגנה דינאמית,מיליציה,המרד הערבי,,נמוכה,הגנה על יישובים חקלאיים בעמק ובגליל,,,,,,,,,,,,,,,,,,,,,,,,,,,Yitzhak Sadeh
Pipeline Defenders Platoon,מחלקת משמר צינור הנפט פלוגת האש,,Pipeline Defenders Platoon,Special Night Squad,British Army,1938,1939,Haganah,North,Preventive,,,,,יוני,הגנה דינאמית,מיליציה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Night Squad,פלוגות הלילה המיוחדות,Wingate,Pipeline Defenders Platoon,Palmach,Haganah,1938,1938,Haganah,North,Preventive,,,,,13 ביולי,הגנה דינאמית,מיליציה,המרד הערבי,האגרסיביות של וינגייט,נמוכה,הגנה דינאמית ,הקמת צבא יהודי,,איזור הצפון,הצבא הבריטי משטרת הישובים העבריים,,,,,"פלגות (squads) שיפעלו בשיטת המארב הנייד. לשם הפעלתן היעילה היה צורך במודיעין איכותי וממוקד, בשיטות הסוואה שיאפשרו לשמר את ממד ההפתעה, קריאת מפות, מטווחים, תנועה בלילה, יצירת מגע עם האויב וניתוק מגע",,,"20 בריטים 24 אנשי פו""ש מיבנאל, מעוז ונהלל",5 פלוגות,37 חיילם בריטיים 75 נוטרים יהודים,שני מקלעים,ארבע משאיות,,מחלקת משמר צינור הנפט פלוגת האש ,,,אורד צ'רלס וינגייט,,לורנס איש ערב מהוגי רעיון הפעולות המיוחדות במסגרת המרד הערבי נגד האימפריה העות'מאנית,,,15,Wingate
Special Operations Unit,"יחידה מיוחדת לפעולות מיוחדות פו""ם ",Yitzhak Sadeh,Filed Companies,Palmach,Haganah,1939,1941,Haganah,Center,Clandestine,,,,,5 ביוני,הגנה דינאמית,מיליציה,פרסום הספר הלבן,פרוץ מלחמת העולם השניה,נמוכה,מאבק בבריטים,,,פרישה ארצית,ההגנה - אם כי זרוע חשאית ועצמאית,,,,,,,,,,,,,,פלוגות השדה,,,יצחק שדה,"מוניה מרדור, חיים לסקוב, אברהם נגב",,,,15,Yitzhak Sadeh
Commando 51,יחידת הקומנדו 51 קומנדו המזרח התיכון 51 גדוד המוות,,,Special Interrogation Group – SIG,British Army,1940,1941,British Army,North Africa,Commando,,,https://www.wikiwand.com/he/%D7%99%D7%97%D7%99%D7%93%D7%AA_%D7%94%D7%A7%D7%95%D7%9E%D7%A0%D7%93%D7%95_51,,,קומנדו,מקצועי,מלחמת העולם השניה,שינוי מדיניות הצבא הבריטי ביחס לחיילי קומנדו שאינם בריטיים,גבוהה,פעולות קומנדו בהתאם לדוקטרינה של הצבא הבריטי,,"ג'ניפה, סמוך לסואץ",צפון אפריקה,הצבא הבריטי,,,,"היחידה אומנה בשיטות של לוחמה זעירה באימונים מפרכים שנערכו במשמעת צבאית נוקשה. האימונים כללו שחיה, חתירה, רכיבה על גמל, לחימה פנים אל פנים, חבלה, סיור, הפעלה של מגוון כלי נשק.","מגע ראשון עם האויב בחזית, איגוף האויב, חדירה לעורף האויב לניתוק קווי אספקה. ",,פלוגה," 360 איש, מהם 240 יהודים ו-120 ערבים. הפיקוד היה בריטי",,,,,"מלחמת העולם השניה. ברדיה - לוב, אתיופיה, אריתריאה","אצ""ל, חיל החפרים, יחידות אחרות של יהודים וערבים בצבא הבריטי","היחידה הגרמנית, צנחנים",,לויטננט קולונל הנרי קייטר,"קארל כהנא, דב כהן",,,,16,
The Syrian Platoon,המחלקה הסורית ,,Filed Companies,The Arab Squad,Palmach,1940,1943,Palmach,North,Deep Reconnaissance,,,,,,מודיעין/לוחמה זעירה,מיליציה,מלחמת העולם השניה הצבא הבריטי היה מעוניין בחוליות שיפעלו בעורף נאויב במקרה של כיבוש גרמני במתכונת ה-SOE ,"מאבק בין הפלמ""ח והצבא הבריטי על השילטה ביחידה ",גבוהה,פעולות מסוערבות במדינות ערב בשירות הצבא הבריטי במתכונת ה-SOE,פעולות מסוערבות בפלשתינה בשירות ההגנה,,,הסוכנות היהודית ומנהלת המבצעים המיוחדים (Special Operations Executive; SOE),,,,,"פעילות צבאית, חבלה, אימון ימי, לימודי, שפה, דת ותרבות היחידה הניחה למעשה את הבסיס לתורת ההסתערבות",,,,,,,,,"פלמ""ח",מסתערבים,,"טוביה ארזי, יגאל אלון, ירוחם כהן","שמעון סומך, חיימקה לבקוב",תאודור וון היפל - צבא גרמניה,גבוהה,,16,
Boom Defense,יחידת הגנת הנמל - Boom Defense,,Boom Defense,Boom Defense,,1941,,Haganah,,,,,,,,הגנה דינאמית,מיליציה,מלחמת העולם השניה,,גבוהה,"הגנת הנמל מצוללות, סירות נפץ ואנשי קומנדו ימי איטלקים",הברחת נשק עבור ההגנה,נמל חיפה,,"הצבא הבריטי, ההגנה",,,,,"ימאים מיוצאי הכשרת הכ""ג, חפרים",,,12 איש,,,פצצות עומק,סירות,,"הגנה, צבא בריטי",,,דוד הכהן,"מוריס אריה, לובה אליאב",,,,,
Palmach,"פלמ""ח",,Filed Companies,IDF,Haganah,1941,1948,Palmach,,,,,,,15 במאי,,מיליציה,מלחמת העולם השניה,"הקמת צה""ל",נמוכה גבוהה,הגנה על היישוב נוכח התקדמות הצבא הגרמני לפלשתינה,בסיס לצבא,,,"הצבא הבריטי, ההגנה",,"ראשוני הפלמ""ח היו אנשי הנודדת והפו""ש",שבוע אימונים אחת לחודש,,"בימיו הראשונים נקבע כי הפלמ""ח יתמקד בלוחמה זעירה, פעולות סיור, חבלה גישוש ותקיפה",,,300,,,,,,"הגנה, נודדת, פו""ש","צה""ל",הבריגדה היהודית,יצחק שדה,"יגאל אלון, משה דיין",,גבוהה רוח היחידה כמכשיר גיוס היחידות המיוחדות כמשיר מגייס,גבוהה,16,
Scouts,הסיירים,,,The 7th Company,Palmach,1941,1942,Palmach,,Reconnaissance,,,,,,סיור,מיליציה,,,גבוהה,"סיור בנתיבים המובילים לשטח האויב, ציוד המפקד בידע מכסימאלי לגבי מה שעתיד לעמוד לפניו: לדווח לו מהם פני השטח, מהי עוצמת הכוחות שעומדים מולו ומהו מרחב התמרון של חייליו במהלכם בשטח.",,,,מודיעין שדה,,,,"כושר גופני ובהגברת מיומנותו כ""סייר"", כמו מלאכת טשטוש העקבות.
","קריאת מפה על גווניה השונים ושימוש בעזרים כגון מצפן; הכרת השבילים, הערים והכפרים, כולל דרכי הגישה אליהם ניצול מכסימאלי של תנאי השטח על מנת להגביר את אלמנט ההפתעה",,,,,,,,,,,,,,,,,,
The German Platoon,המחלקה הגרמנית,,,The Balkan Platoon,Palmach,1941,1947,Palmach,North,Clandestine,,,,,,מודיעין/לוחמה זעירה,מיליציה,מלחמת העולם השניה,צירוף לבריגדה היהודית,גבוהה,פעילות מודיעין וחבלה בשטחים כבושים על-ידי גרמניה וביחידות גרמניות בשירות הצבא הבריטי,"סיוע להעפלה, פעולות נקם בגרמנים",משמר העמק,,"ההגנה, ה-SOE",,עולים ממרכז אירופה דוברי גרמנית כשפת אם,,,,,,,,,,,,"הגנה, הצבא בריטי",,,שמעון אבידן (קוך),"יהודה בן-חורין (בריגר), אהרון יריב (רבינוביץ'), אברי אלעד","קשה לקבוע, אנשיו של סקורנצי פעלו באופן דומה",,,16,
Special Interrogation Group – SIG,היחידה הגרמנית יוצאי גדוד 51 Special Interrogation Group – SIG,,Commando 51,SAS,British Army,1942,1942,British Army,North Africa,Commando,,,https://www.wikiwand.com/he/%D7%A7%D7%91%D7%95%D7%A6%D7%AA_%D7%94%D7%97%D7%A7%D7%99%D7%A8%D7%95%D7%AA_%D7%94%D7%9E%D7%99%D7%95%D7%97%D7%93%D7%AA,,מרץ,קומנדו,מקצועי,מלחמת העולם השניה,,,פעולות קומנדו מאחורי הקויים הגרמנים,,,צפון אפריקה,הצבא הבריטי,,מתנדבים דוברי גרמנית יוצאי גדוד 51,,היחידה אומנה בהתאם למקובל בצבא הגרמני.,"התחזות, לוחמה זעירה, סיור",,פלוגה,38 יהודים מתנדבים מצבא צ'כיה החופשית,,,ציוד של צבא גרמניה,,מלחמת העולם השניה המדבר המערבי,גדוד 51,,,"קפטן בק, לוטאנאט ראסל","קארל כהנא, איתן שפיר, ישראל כרמי",,,,16,
The Arab Squad,"הכיתה הערבית של הפלמ""ח",,The Syrian Platoon,Masqueraders,Palmach,1942,1948,Palmach,Haifa,HUMINT,,,,,,מודיעין/לוחמה זעירה,מיליציה,,צירוף לפלוגת השחר,נמוכה,,,ח'ריבה כרמל,,"פלמ""ח",,מראה ערבי,,,,,,12 איש,,,,,,"פלמ""ח",פלוגת שחר,,יצחק חנקין,"יעקובה כהן, יוסף בן סעדיה, סעדיה סעיד, יוסף גיאת, דוד קומם (קיפניס), גיורא זייד, יוסקה יפת (כל הארץ), יהודה פרנקו",,גבוהה,,,
Masqueraders,"היחידה הערבית של הפלמ""ח מסתערבים מחלקת השחר",,The Arab Squad,"Intelligence 13 Wing,Intelligence Service 18 805",Palmach,1943,1948,Palmach,Haifa,Deep Reconnaissance,,,,,אביב,מודיעין/לוחמה זעירה,מיליציה,"גיבוש הפלמ""ח ככוח הצבאי הפורמאלי של היישוב, מיזוג הכיתה הערבית והמחלקה הסורית","סכסוך בין ראש אמ""ן בנימין גבלי ולוחמיה",נמוכה גבוהה,"איסוף מודיעין בקרב ערביי א""י ומדינות ערב בלא להסתמך על מקורות יומינטיים ערביים","הפעלת כוח מיוחד שיכול הן לאסוף מודיעין (לימים סיירת מטכ""ל) והן לבצע פעולות חבלה בעורף האויב",קיבוץ אלונים,,"פלמ""ח",,מתנדבים בעלי חזות מזרחית שערבית הייתה שפת עמם ,שנה עד שנתיים,,"הכשרה צבאית צליפה, סיירות, ג'ודו, ימאות, נהיגה בכלי רכב ואופנועים, ערבית כתיבה וקריאה,  תפילה, הווי, לבוש, מסורת",,,50 איש בכול רגע נתון,,,,,,המחלקה הסורית,"היחידה המבצעית של אמ""ן (יחידה 188 לשעבר 131)  קיסריה, סיירת מטכ""ל, 504, המסתערבים",לא תחרות אך הסתייגות והעדר תמיכה מצד אנשי המחלקה המדינית של הסוכנות,ירוחם כהן,"שמעון סומך, יעקב נמרודי, יעקב-זק צביה, אהרון ספקטור, רחביה ברמן",,גבוהה,,,
The Balkan Platoon,המחלקה הבלקנית,,,The Balkan Platoon,"Palmach,British Army",1943,1945,Palmach,,Sabotage,,,,,,מודיעין/לוחמה זעירה,מיליציה,מלחמת העולם השניה,,גבוהה,"עבור הפלמ""ח הצנחת עולים ואנשי הגנה ברומניה, בולגריה, סלובקיה, יוגוסלביה והונגריה במטרה ליצור קשר עם מתחרות יהודיות ולקחת חלק במבצעי מודיעין, הצלה וגרילה נגד הנאצים",עבור הצבא הבריטי - הברחת טייסים בריטים ואמריקאיים ממחנות שבויים לאיסטנבול,,"ההגנה, הצבא הבריטי",,,,,,הכשרה בצניחה ולוחמה זעירה על-ידי המדור למבצעים מיוחדים של הצבא הבריטי,,,,,,,,,"פלמ""ח",צנחני היישוב,,שמואל גבעון (הקר),,,,,16,
Jewish Paratroops,צנחני הישוב,,"The German Platoon,The Balkan Platoon",,"Palmach,British Army",1944,1944,British Army,Europe,Commando,,,,,,מודיעין/לוחמה זעירה,שילוב,מלחמת העולם השניה,,גבוהה,החדרת סוכנים של ההגנה לשטחי כיבוש נאצים,,רמת דוד,דרום מזרח אירופה,"הצבא הבריטי, ההגנה",,מתנדבים יוצאי ארצות הכיבוש,,,"צניחה, קריאת מפות ואימון בשיטות פעולה של קומנדו ומחתרת",,,240 מתנדבים 110 התקבלו,,,,,,"פלמ""ח, הבריגדה היהודית",,,דן לנר,"חנה סנש, חביבה רייק, חיים אנצו סירני, חיים יערי ולנדר",,,,,
Reconnaissance Company 7,יחידת סיירים פלוגה ז,,Scouts,The 4th Battalion,Palmach,1944,,Palmach,,,,,,,,סיור,מיליציה,"הקמת יחידות הפלמ""ח",נפילת רבים מחברי המחלקה בקרבות נבי סמואל,,סיור בעומק שטחים ערביים ,פעילות נגד מטרות בריטיות,"משמר העמק, עין השופט, דליה","מטה הפלמ""ח",,,"מגוייסים חדשים לפלמ""ח",,,"תנועה בלילה, חדירה ליעד, קרב לילה, לוחמה בשטח בנוי, שימוש בחומרי נפץ.",,,,,,,,,"פלמ""ח בוגרי קורס הסיור",,,יוחנן זריז,"דוד גורפינקל, יוסקה יהלום, אריה שחר (שורצמן), יהודה שליין, משה ברקוביץ, אפרים בלוך, שלמה שילוח",,,,,
The 4th Battalion,הגדוד הרביעי גדוד המטה,,,The 4th Battalion,Palmach,1944,1948,Palmach,Center,Reconnaissance,,,,,,,מיליציה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 7th Company,"פלוגה ז של הפלמ""ח",,Scouts,The 7th Company,Palmach,1944,1948,Palmach,North,Intelligence,,,,,ינואר,סיור,מיליציה,"נועדה לרכז את כול היחידות המיוחדות הערבית, הגרמנית, הבלקנית, הטייסים, והימית.",לטפח את מקצוע הסיירות,,,,,,,,,,,,,,,,,,,,"פלמ""ח",,,"שמעון אבידן (קוך), חיים זינגר (רון)",,,,,,
Palyam Sea Company,"פלי""מ - החוליה לחבלה ימית",,Palyam Sea Company,Flotilla 13,,1945,1948,Palyam,Navy,Naval,,,,,1 בנובמבר,לוחמה זעירה,מיליציה,המגבלות של הבריטים על העליה,"פירוק הפלמ""ח",נמוכה גבוהה,סיוע למעפילים,פעילות חבלה נגד מטרות ערביות במהלך מלחמת השחרור,שדות ים קיסריה,,"מפ""ם, אחדות העבודה, הגדוד הרביעי של הפלמ""ח",,,,,,,,,,,,,,"פלמ""ח הגדוד הרביעי","השירות הימי, שייטת 13",,יוחאי בן-נון,,,"גבוהה, בני מרשק, חיים חפר, דן בן אמוץ",,,
Negev Animals 1 Shiloni,חיות הנגב מחלקת שילוני,,Negev Animals 1 Shiloni,Negev Animals 1 Shiloni,,1947,1948,Palmach,South,,,,,,20 בדצמבר,סיור/לוחמה זעירה,מיליציה,תכנית החלוקה,,נמוכה וגבוהה,הגנה על קווי המים ועל הדרכים שבין היישובים,,,דרום משמר הנגב,"הגדוד השני פלמ""ח",,גיוס מילואים ררבה מחיפה,,,,,,50 לוחמים,,,"רובי אנפילד, תתי מקלע סטן ושני מקלעי ברן, מכשירי קשר","ג'יפים, משוריינים",מלחמת העצמאות איסדוד,"פלמ""ח, מ""ן","פלוגת הסיור, גדוד 9, חטיבת הנגב",,שמחה שילוני,דודק'ה מגן ,,"כינו את עצמם ""חיות הנגב"" והחליטו שהגמל יהיה סמלם",,,
Negev Animals 2 Beeri,חיות הנגב מחלקת בארי,,Negev Animals 2 Beeri,Negev Animals 2 Beeri,,1947,1948,Palmach,South,,,,,,,סיור/לוחמה זעירה,מיליציה,תכנית החלוקה,,,אבטחת קוו המים המערבי,,,דרום גזרה מערבית,"הגדוד השני פלמ""ח",,הרזרבה של משקי עמק יזרעאל,,,,,,20 לוחמים ,,,,,,"פלמ""ח","פלוגת הסיור, גדוד 9, חטיבת הנגב",,,,,עכברי המדבר,,,
Port Company,פלוגת הנמל,,,,,1947,1948,Palyam,Navy,Defensive,,,,,,הגנה דינאמית,מיליציה,הטבח בבתי הזיקוק,,,הגנה על פועלי נמל חיפה היהודים,"רכש עבור חיל הים העתידי, לחימה בקרבות לשחרור חיפה",נמל חיפה,,"פלי""ם, הגדוד הרביעי של הפלמ""ח",,,,,,,,,,,,,,"פלי""ם","שייטת 13, מדור בקרת נזקים, 707",,יוחאי בן-נור,אדמונד וילהלם ברילנט,,,,,
,"פלס""ר שריון 17",,,,,,,,,,,,,,,,,,,,,,,צפון,,,,,,,,,,,,,ג'יפים,,,,,,יהודה שפיגל,,,,,
,"פלס""ר שריון 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פלס""ר שריון 57",,,,,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Armored Reconnaissance Gunda,"פלס""ר 7",,Golani 19 Battalion,9 Armored Brigade,,1948,1953,Armor,North,Armor Reconnaissance,,,,,,,,,קרב החרמונית מלחמת יום כיפור,גבוהה,"פתיחת הציר לפני החטיבה, איתור ונטרול מארבים וכוחות אויב",איסוף מודיעין קרבי,,,שריון,,,,,,רגיל,,,,,"נשק חי""ר",ג'יפים,"מלחמת העצמאות, מלחמת ששת הימים, מלחמת יום-כיפור",חטיבה 7,"פלס""ר 7, 401, 188",,,,,,בינונית,,
Barak Battalion 12 Golani,גולני גדוד ברק 12,,Barak Battalion 12 Golani,Barak Battalion 12 Golani,,1948,,Infantry,North,Reconnaissance,,,,,פברואר,,,מלחמת השחרור,,,,,,צפון מזרח,,,,,,,,,,,,,,,"פלוגות חי""ש, פל""מים ונוטרים מבקעת כנרות, עמק הירדן והגליל התחתון מחלקת הקומנדו",,,,"יצחק ברושי, רפי קוצר",,,,,
Bomb Disposal Unit 1948,"יחס""פ",,Bomb Disposal Unit 1948,Bomb Disposal Unit 1948,,1948,1995,Engineering,General,Bomb disposal,,,,,,,,מלחמת השחרור,,גבוהה,,,,,,,,,,,,,,,,,,,סלקי פצצות יהודים בצבא הבריטי,"סיירת יעל, יהלם, מחס""רים",,"עמנואל שחר, רודי (ראובן) שפלן",מרדכי מרון,,,,,
Commando Battalion 75 French Commando,הקומנדו הצרפתי גדוד 75,,Commando Battalion 75 French Commando,Commando Battalion 75 French Commando,,1948,1948,Palmach,South,Commando,,,,,אוגוסט,,,מלחמת השחרור,נטמע בגדוד הפשיטה התשיעי,גבוהה,,"אחרי המלחמה אבטחת גבולות מרחב הנגב; מארבים, מיקוש צירי תנועה",,,"פלמ""ח - גדוד פשיטה 9",,גיוס עולים חדשים 90 מתוך 400 מגוייסים,,,,,שתי מחלקות קומנדו ומחלקת מטה,90 לוחמים 70 אנשי מנהלה,,,"טומיגן, ברן, שפנדאו, חבלה, מטולי פיאט",,,,התמזגה בגדוד 9,,טדי דיופרה (איתן),"יעקב דומבורובסקי, הרב פימה מימון",,,,,
Commando Battalion 89,גדוד קומנדו 89,,Commando Battalion 89,Commando Battalion 89,,1948,,Palmach,Center,Raid,,,,,27 במאי,,,מלחמת השחרור,"פירוק הפלמ""ח",גבוהה,גדוד פשיטה ממוכן,,תל ליטוינסקי - תל השומר,,"פלמ""ח צה""ל חטיבה 8",,,,,,,,,,,,,קרבות עשרת הימים,"חטיבה 8 של הפלמ""ח",,,משה דיין,"יוחנן פלץ, טדי דיופרה (איתן)",,,,,
Divers,הצוללים,,Divers,Flotilla 13,,1948,1948,Palyam,Navy,Naval,,,,,,,מיליציה,מלחמת העצמאות,נטמעה בשייטת 13,,הפעלת מכשירי צלילה אוטונומיים,,,,,,,,,,,,,,,,,,"פלי""ם",שייטת 13,,יוסף דרור,,הקומנדו הימי האיטלקי הפשיסטי,,,,
Intelligence Service 18 805,"ש""מ 18 יחידת הסוכנים של שירות המודיעין של צה""ל",,Intelligence Service 18 805,Intelligence Service 18 805,,1948,1950,Intelligence,AMAN,Spyware and sabotage,,,,,,מודיעין/לוחמה זעירה,,,,,,,,,מודיעין,,,,,,,,,,,,,,מסתערבים - שחר,,,"סומך, שמריה גוטמן",,,,,,
