Date ,Date - Translated,Operation Name,Location,Place,Latitude,Longitude,Desciption,Tactics,Order Forces,Unit / Units,,,,,
8/29/1955,8/29/55,"Rafah operation; ""Operatiom Philistine""",Gaza; Rafah,Military base near Rafah in southern Gaza Strip ; Rafah,31.29678,34.243482,"Collection of price by the intrusion of Ashkelon fedayeen cells and killing of soldiers by a mine near Kibbutz Be'eri. Raiding outposts and camps of the Egyptian army in Rafah; Company D under the command of Motta Gur. Raiding his company deep into the Gaza Strip, damaging the Egyptian army camp in Rafah",,,,,,,,
8/31/1955,8/31/55,"Operation Khan Younis ; ""Operation Elkayam"" operation in Khan Yunis",Rafah ; Khan Younis,Police Khan Yunis in the Gaza Strip and placed in 132 village Absan; Khan Younis,31.349977,34.299682,"Injury Fedayeen headquarters and served as a Palestinian brigade in the Egyptian army. Raid, pressing headquarters and detonated. This action moves the first time Asante force on Zhlm""im. The first action to take on half-tracks and blowing up a police building (new martial theme). Three troops from Battalion 890 D. Command Motta Gur, the Lord commanded by Rafael Eitan, A. Command Command Uzi Elam. Aaron David replaced the puppy after being injured breaking into the headquarters.  Carried out by the forces of biased, Eitan Levi, Tibi, Stempel, holidays, Jeremy, Doron, David and works Ldiz'inski.",,,,,,,,
9/22/1955,9/22/55,"Operation Nitzana ; Operation ""Cotton"" act of Nitzana",Khan Yunis ; Nitzana area - a demilitarized zone between Israel and Egypt,The demilitarized zone on the Egyptian border at Nitzana,30.885983,34.422569,"During the Egyptian border marking the Nitzana area, it was discovered that the Egyptians built two stationed in Israel. The withdrawal of Egyptian forces in the area was supposed to be demilitarized. Login force commanded by Meir Har-Zion to the area, taking over the headquarters of the UN observers and stopping power of the Egyptian guard who was there; Force led by Meir Har-Zion took over the headquarters of the UN observers in Auja. In return marked for evacuation Egyptians stationed unloaded.",,,,,,,,
10/22/1955,10/22/55,"Customs House operation ; Operation ""hairy"" customs house operation",Nitzana ; Syria - Golan Heights,Road Custom House at Gesher Benot Ya'akov ; Golan Heights,32.990998,35.689865,"Capture of Syrian soldiers in order to free the soldier Jacob Minsky, Nahal soldier who was kidnapped and prisoners of operation ""cricket"". Syrian army attack on a customs house and the attack on the outpost ""Aorfiih"" north of Gesher Benot Ya'akov. Apprehended four soldiers and an officer to release five Syrian intelligence soldiers who were captured while trying to take care of bugs in the Golan Heights.Customs raid on a house under the command of forces participated Tibi Shapiro, Leo Biro, work and Yoav Shaham After obtaining, on Aorfiih commanded forces took control of Meir Har-Zion, Danny Matt and Musa pencil. There is no exact number of soldiers",,,,,,,,
10/27/1955,10/27/55,"Operation Kuntilla ; Operation ""bundle"" Kuntilla operation.",Katzrin; Egypt - Castle Kuntilla River area,"Police Kuntilla Sinai, on the road ; Kuntilla Castle ",32.2655514,35.5399606,"Retaliatory action by the intrusion Egyptian army Nitzana area, occupying an IDF outpost near Be'erotayim, killing soldiers and capture of two others;Bankruptcy depth (20 km to enter Egyptian territory) in order to occupy the fortress Kuntilla and taking many prisoners as possible. The first action deep in Egypt in order to conquer the fortress Kuntilla (opposite the river Piran) and take many prisoners as possible. Forces under the command of Meir Har-Zion, Rafael Eitan, Musa pencil, Chaim Shapiro real and Tibi. There is no exact number of soldiers.",,,,,,,,
11/2/1955,11/2/55,"Faoltsbh'h ; ""Operation Volcano"" operation Tzavha",River Piran ;Egyptian military posts in the demilitarized zone in Nitzana and an Egyptian outpost was built on Israeli territory,Hsbh'h positions and positions Anokye had retained them in Sinai near the Nitzana,30.885983,34.422569,"Egyptians price collection for violating the armistice agreement signed with them, and the withdrawal of occupation forces positioned Egyptians built contrary to the agreement. Hsbh'h occupation positions and positions Anokye had retained them Egyptian. The first operation carried out by the 890 Infantry Battalion together with the Lebanese deer Command, commanded the Golani unit Uri Bar-will, Elisha's reserve company intact and novices of Musa pencil. 7 raid carried out by forces stationed paratroopers and Golani previously carried artillery shelling in view of the observations and intelligence data. Sharon commander and deputy commander Aharon Davidi commanded a paratrooper unit consisting of five companies and given the task to conquer and purify four outposts and Golani force consisting of four companies was required to purge and capture three outposts",,,,,,,,
12/11/1955,12/11/55,"Faoltcinrt ; ""Operation Olive Leaf"" Operation Sea of ​​Galilee",Nitzana ; Syria - Syrian army outposts north and east of Galilee,Syrian positions along the northeastern coast of the Sea of ​​Galilee; Syria - Syrian army outposts north and east of Galilee,32.723787,35.565242,"Leaders (political leadership) were not involved in the operation, therefore, did not approve it and the objectives. Occupation and Syrian positions explosion all over the eastern and northern Sea of ​​Galilee. Occupation and blast all the Syrian position north and east of Galilee. Forces attacked from various quarters, including the landing from the sea. The first action combined landing from the sea and artillery. Samuel Goldberg commanded the Givati ​​troops and complete the Nahal soldiers who were Elisha. Forces paratrooper regiment included 890, including fighters patrol, and the soldiers of Infantry Battalion of the Givati. It also took part naval forces landed the Company D of the 890th, artillery and air force helped coordinate forces.",,,,,,,,
8/30/56,8/30/56,"Operation ""sledgehammer"" operation Qseimme",Egypt - Egyptian military camp about 20 kilometers west of the border in Kadesh Barnea,Kadesh Barnea,32.1122152,34.815107,"Comment on murder carried out by a squad of Fedayeen in the south. Since the cell is activated by Egyptian intelligence, decided to attack military base. Zoom secret entrance to the camp, carrying out acts of sabotage and damage to the unit in which the sitting. Force Battalion 88 of the Nahal Airborne that came shortly before the Paratroopers Brigade. Battalion lacked any experience in combat and therefore decided to take action to enable commanders ""worn."" Force consisted of 12 officers and carpenters Regiment",,,,,,,,
8/30/1956,8/30/56,Operation Qseimme,Kinneret,,,,,,,,,,,,
9/11/1956,9/11/56,"Operation A-Rhooh ; ""Operation Thunderbolt"", a function-Rhooh","Qseimme ; Jordanian police building in Rhooh, near the Hebron - Beer Sheva","A Police Building Shop southern Hebron hills, north of redundancyy; Rahwah",31.3243516,34.945467,"Charging a price for the murder of six reserve soldiers and the wounding of three by the Jordanian Legion soldiers training area near the town Amazya currently before the operation;  Jordanian police raid, cleaning ditches, running blockades, gathering a variety of documents and police building explosion. Police raided the building, cleaning the ditches around the station and blocking Jordanian reinforcements because Dahariyya; Paratroopers Battalion 890 and Battalion 88 and paratroop commando unit",,,,,,,,
9/13/1956,9/13/56,"Arandal operation ; ""Operation Gulliver"" operation A'rdnl",excessive ; Jordan - Legion Bardnl station (south road parallel to the prairie),Arandal police Jordan in the Arava border east of Mount Ya'alon ; Ardanel,30.0986111,35.1163889,"Collection Jordanian price ambush on a civilian bus on the Arava road on 08/16/1956, killing a woman and three paratroopers who escort vehicle, and charging a price for the murder of three Druze guards drilling in ""Ein Ofarim"" at Hazeva on 12/09/1956. Raiding, conquest and destruction of the Jordanian police Prairie was fortified and has three floors. Housed a company of ""Desert Commandos"" of the Legion. Conquest and destroying a police A'rdnl. Three troops from Battalion 890 and Battalion Detachment our NCO Course 88.",,,,,,,,
9/25/1956,9/25/56,"Operation Husan; ""Lulav"" act of Husan",Mount Ya'alon ; Jordan - Husan police and border outposts of the Jordanian Legion in Bethlehem,"Police Husan, west of Bethlehem near Betar Illit ; Bethlehem",31.708426,35.133425,"Charging a price for the murder of four scientists archaeologists who took part in the conference at Kibbutz Ramat Rachel, wife murder and murder seat Aminadav agricultural Kibbutz Maoz Haim. The first divisional action with the participation of Battalion 890 Regiment 88, and auxiliary forces brigade. Police raided the building of Husan and three are stationed nearby. Police raided the building of Husan and border outposts, police fortress demolition and nearby structures. Six companies of paratroopers battalions 890 and 88 and paratroop commando unit.",,,,,,,,
10/10/1956,10/10/56,"Qalqilya operation ; ""Operation Bank"" operation in Qalqilya",Beitar Illit ; Jordan - Castle Qalqilya police,Police citadel north of the town of Qalqiliya ; Qalqilya,32.196015,34.981513,"Collection of aggravated murder of two workers from Even Yehuda orchard near Neveh Hadassah. Second divisional action with the participation of Battalion 890, Battalion 88, Battalion 332, a force from the Givati ​​Brigade and artillery batteries. The occupation of the fort, the elimination of legionnaires and the blowing up of police.. The goal of occupation and the bombing raid Qalqiliya police. Latest retaliation. The second action Paratroopers Brigade, commanded commander of the Paratrooper 202 Sharon six powers.",,,,,,,,
7/9/58,7/9/58,"""Yuval 3""",Port of Beirut,Port of Beirut,30.0940063,31.3264442,"Anchorage test and Customs patrol boats and equipment and the structure of the breakwater. Stealth Two pairs of divers to the harbor. St""il, a torpedo boat and four fighters, several other soldiers is not known",,,,,,,,
3/16/1962 - 3/17/1962,3/16/62,"""Nokiib""","Nokiib village on the eastern shore of the lake and Syrian positions along the coast, naval fighters has been assigned a target placed Kursi",Nokieb village,48.4557126,5.2291418,"Syrian reward for incessant Htncoliot fishermen and incidents of fire in the area by demolishing outposts, vulnerable Syrian soldiers and destroying Syrian Fishing Boats.  Golani troops raid and Flotilla 13.  Golani Brigade, commanded by Mordechai Gur, 14 naval fighters under the command of Captain Enoch Manor.",,,,,,,,
,,"Operation ""Dothan"" operation processes","West of Jenin, east",Jenin,32.462068,35.302535,,,,,,,,,
25.1953,25.1953,"""Operation ore"" operation Idhna 1",Jordan - Idna village of Beit Guvrin Hebron,Idhna,31.557252,34.979243,,Villagers targeting terrorists who infiltrate Israel and harm to life and property,raid,Two companies,,,,,
9.1953,09/00/1953,The expulsion of Bedouin from the Negev,Israeli - Egyptian border area of ​​Nitzana, ​​Nitzana,,,Armed Bedouin tribe expulsion Azzama penetrate Israel. Check on vehicles camouflaged expulsion of Bedouins who are convinced that remain deployed along the Egyptian border in the Sinai. The modus operandi is unknown. ,,,,,,,,
8.1953,08/00/953,Tin raid on Abu cheek,"Jordan - Legion outpost in the village of Abu she Tin, near Kibbutz Maale Hachamisha",Kibbutz Maale Hachamisha,31.817429,35.109406,Retaliation for throwing grenades to children in Kiryat Yearim. Tour violent,,,,,,,,
8.1954,08/00/1954,"""Operational Age"" (Gibli Isaac freedom)",Jordan - Jenin area and Khirbet pin - Hebron area,Hebron ,31.532569,35.099826,"The return of a captive operation Azzun village, Warrior Yitzhak Gibli.. Capture of Jordanian soldiers and replacing them Gibli. Squads under the command of Ariel Sharon, Meir Har-Zion and Aharon Davidi.",,,,,,,,
סוף 55,1955,"""Nahshonim""",Bay Taba - Egypt,Bay of Taba,29.4925679,34.8949027,"Egyptian frigate moored injury occasionally in the Gulf of Taba, after opening fire on Israeli aircraft and was part of the Egyptian forces intended to impose a blockade on Eilat. Rowing Bkiaikim the key intention of bay frigate.  A group of fighters - an unknown number.",,,,,,,,
סוף 55,1955,"""olive leaves""",Syrian outposts on the eastern shore of the Sea of ​​Galilee,Sea of ​​Galilee,,,"Htncoliot reward for incessant Syrian and Israeli fishermen in fire incidents. Infantry forces raid the outposts. Paratroopers and Givati, two fishing boats and rubber boats for transporting troops.",,,,,,,,
"1.11.56, התחלה ב20:00",11/1/56,"""stork""",Bay Sharm el Sheikh,Sharm el Sheikh,27.9158175,34.3299505,"Injury Egyptian frigate moored in the Gulf; Drop fighters and motorized planes Dakota kayaking, rowing, swimming and laying mines frigate and collection by motor boat armed after the action. Dakota and 13 naval fighters - an unknown number",,,,,,,,
תחילת 1956,1956,tour,Israel's border - Egypt near Kibbutz Ruhama,Kibbutz Ruhama,31.497378,34.705165,"Egyptian intelligence officials Perception. Mounted patrol and legs.  Command car, warriors and scouts commanded Amos Yarkoni.",,,,,,,,
12.121.56,12/12/56,tour,Between El Arish Nitzana,Nitzana,30.885983,34.422569,"Update Maps; Horseback Tour; The two command cars with fighters and scouts led by David Ben-Hur, a plane and a helicopter rescue.",,,,,,,,
שלהי 1957,1957,tour,Sands pioneer,Halutza,,,Elimination and capture of Egyptian intelligence officials; Mounted patrol and legs. Command car with fighters and scouts led by Uri Fishing.,,,,,,,,
לא ידוע,Unknown,Ambush,Wadi Beersheba,Wadi Beersheba,31.414487,34.761872,,The confiscation of weapons and ammunition,Deploying two ambushes on both sides of the valley to capture the smugglers crossfire,Both squads under the command of Amos Yarkoni and Nadav Neumann,,,,,
לא ידוע,Unknown,tour,Area Kibbutz Beeri,Kibbutz Beeri,31.424513,34.492567,,Elimination and capture of Egyptian intelligence officials,Walking tour,Warriors and scouts unloaded three command cars,,,,,
לא ידוע,Unknown,tour,Sands pioneer,Halutza,,,,Elimination and capture of Egyptian intelligence officials,Horseback Tour,The two command cars Shaked led by Amos Yarkoni and Paratroopers,,,,,
לא ידוע,Unknown,tour,Israeli-Egyptian border - there is no exact line,,,,,Elimination and capture of Egyptian intelligence officials,Horseback Tour,Komandker led by Uri Neumann,,,,,
"9.9.59, התחלה ב03:00",9/9/59,tour,Nettle River in the Mount Negev,Nettle River,35.5564658,-83.386327,"Searching for paratroop reconnaissance, Yair Peled, who went missing during the training navigation; Walking tour ; Hfios squad commanded by Nissan Sheeran. ",,,,,,,,
9.59,9/00/1959,tour,Wipe - near Kibbutz Ze'elim,Kibbutz Ze'elim,31.203909,34.533359,Egyptian intelligence officials Perception; Mounted patrol and legs;  Warriors led by Nissan Sheeran.,,,,,,,,
11.59,11/00/1959,tour,Hamama - an abandoned Arab village south of buds,Nitzanim,31.717845,34.634636,Egyptian intelligence officials Perception; chase; A team led by Dov Strlitz,,,,,,,,
12.59,12/00/1959,tour,Marshes north of Ashkelon,Ashkelon,31.6687885,34.5742523,"Egyptian intelligence officials Perception; chase; A team of five soldiers under the command of Amos Yarkoni, Dov Strlitz + helicopter.",,,,,,,,
לא ידוע,Unknown,Ambush,Hayon River - near the camp Faran,Hayon River ,42.5240072,-85.0267159,,Seizure and damage infiltrators,Laying an ambush mall stream of intelligence information on cell infiltrate was supposed to pass from Egypt to Jordan,"The expedition team led by Saul his. Tracker power, Saleh al Hib, led the chase itself",,,,,
"סוף 1960, אין תאריך מדויק",1960,chase,"Bsor River, near the town of Ofakim",Bsor River,31.0672048,34.6644198,"Perception four infiltrators, whose consequences were identified; Chase mounted and legs; Both teams had their command cars, commanded by Ori Ami risk and fishing, to force also joined Amos Yarkoni first operational activities since being wounded in battle, followed by one of his hands cut off.",,,,,,,,
לא ידוע,Unknown,chase,Bad kibbutz fence,kibbutz Re'eim,31.386159,34.458823,,Thieves infiltrated the kibbutz perception,Power thieves lurked near the loophole through which they entered. Power avoided the kibbutz in order not to engage in a shootout in the kibbutz.,Power Command Yarkoni,,,,,
לא ידוע,Unknown,chase,"Sycamore River, the northwest area of ​​the unit",Shikma River,31.488406,34.708995,,Seizure and damage infiltrators,Chase trail riding based on territory,The expedition team of five soldiers commanded by Yehuda Melamed,,,,,
תחילת 1961,1961,chase,South prairie - River Keenan,River Keenan,44.4486337,-71.3382462,"The perception of a terrorist cell Shrghcmh hours earlier, an Israeli motorist traveling on the Arava Road;  And dealt to draw cells to block and ambush; Three squads heated.",,,,,,,,
לא ידוע,Unknown,chase,Hanegev small crater - near the mountain crest,small crater negev,30.6152797,34.8844867,,Injury infiltrators,Chase accordance with footprints on the ground,Shaikeh tour led by Erez and 15 paratroopers trained fighters patrolling by Almond fighters surveillance and pursuit theory.,,,,,
6.61,06/00/1961,chase,Sycamore River - from the Kibbutz Yad Mordechai and Zikim,Shikma River,31.488406,34.708995,"Injury infiltrators; Chase accordance with footprints on the ground; Tour teams under the command of Amos Yarkoni, who was then commander of the unit. Combine jeweler force of Kibbutz flashes.",,,,,,,,
"1963, אין תאריך מדויק",1963,chase,Fallujah area and seat Extract,Moshav Heletz,31.57794,34.658391,"Injury infiltrators, whose consequences were identified Bazior even two weeks earlier; Chase accordance with footprints on the ground;  tour","Injury infiltrators, whose consequences were identified Bazior even two weeks earlier",Chase accordance with footprints on the ground,tour,,,,,
לא ידוע,Unknown,chase,Prairie - Nahal Paran,Paran River,-27.3961723,-56.5168094,,Injury infiltrators,Chase unheated,"Helicopter which took off Aaron age and Saleh Al Heib, the first commander of the cruiser 525 Hgsshbcir fresh",,,,,
חג שבועות 1964,1964,chase,Wadi near Kibbutz Bror,Kibbutz Bror Hail,31.556985,34.646547,Pursuit and ambush; Both teams under the command of Amos Yarkoni.,,,,,,,,
