Unit,Year Established,Affiliation,Entrepreneur (none/founder/transformative),Entrepreneur evidence,Fate (demised/merged/endured/expanded),Fate evidence
Intelligence 13 Wing,1950,Intelligence,,,,
Intelligence 131,1953,Intelligence,,,,
Intelligence 132,1949,Intelligence,,,,
Intelligence 188,1955,Intelligence,,,,
Intelligence Service 805,1948,Intelligence,,,,
Intelligence Unit 154 - Intelligence 10,1949,Intelligence,,,,
Intelligence Unit 504,1949,Intelligence,,,,
Intelligence Unit 805,1949,Intelligence,,,,
Israel Police Special Patrol Unit,1988,Police,,,,
Jewish Paratroops🇬🇧,1944,British Army,,,,
Kfir Brigade,2005,99 Division - The Maneuver Formation,,,,
Kfir Brigade 900,2017,"99 Division - The Maneuver Formation, Division 99, Kfir Brigade",,,,
Laskov Team - Weapons Development Unit,1958,Engineering,,,,
Lion King Malar,2021,Armor,,,,
LOTAR Eilat Counterterrorism (Res) 7707,1989,"CT, Regional, Southern Command",,,,
Maglan 212,1986,"89 Oz Brigade, ATM",transformative,"Founded ~1982/86 as a technology-driven deep-recon/ATM unit (Rafael Tamuz/Spike-NLOS, Orev->Moran/Meitar->Maglan lineage); Tal Russo (cmd 1992-94) redefined its capabilities and standing, pushed it into targeted-killing, imported Shaldag standards.",expanded,Still active; later absorbed Meitar/Moran lines; rose to a standout deep-operations unit.
Maritime Demolition Unit,1948,"Palmach, Palyam",,,,
Marom - Center for Airborne and Special Training,2005,99 Division - The Maneuver Formation,,,,
Marul,,,,,,
Masada Prison Service,2003,Prison Service,,,,
Masqueraders - Intelligence 18,1943,"IDF, Palmach",,,,
"Matilan Border Patrol - intelligence, observation, interception, mobile warfare",1996,Police,,,,
MATPA,2004,Police,,,,
Mechanized Infantry,1988,,,,,
Mechanized Infantry - Alon,1988,500 Brigade,,,,
Mechanized Infantry - Ashuach,1988,500 Brigade,,,,
Mechanized Infantry - Eshbal,1990,401 Brigade,,,,
Mechanized Infantry - Eshchar,1988,401 Brigade,,,,
Mechanized Infantry - Oren,1992,188 Brigade,,,,
Meitar 427,1987,ATM,,,,
Military Intelligence Directorate,1948,IDF,,,,
Military Police Force 100,1990,Military Police,,,,
Mobile Guard,1937,Haganah,,,,
Moran,1981,ATM,,,,
Multi-Dimensional Ghost Unit 888,2020,99 Division - The Maneuver Formation,,,,
Nahal Anti-Tank Company,1991,"Infantry, Nahal Brigade 933",,,,
Nahal Anti-Tank Company (Res),1977,ATM,,,,
Nahal Brigade 933,1982,"162 Division, Infantry, Southern Command",,,,
Nahal Engineer Company,1992,"Infantry, Nahal Brigade 933",,,,
Nahal Reconnaissance Battalion (Gadsar),2002,"Infantry, Nahal Brigade 933",,,,
Nahal Reconnaissance Platoon 150,1954,"Regional, Southern Command",,,,
Nahal unit before 101,1950,,,,,
Natran,1973,Artillery,,,,
Naval Commandos,1948,"Palmach, Palyam",,,,
Navy,1948,IDF,,,,
Negev Animals 1 Shiloni,1947,"Negev Brigade, Palmach",,,,
Negev Animals 2 Beeri,1947,"Negev Brigade, Palmach",,,,
Nesher Mobile Company 414,2000,Field Intelligence,,,,
Nitzan 636,2000,Field Intelligence,,,,
Nitzan Target Field Intelligence Unit 636,1993,Field Intelligence,,,,
Nodedet,1936,Haganah,,,,
Nodedet in Jerusalem Kiryat Anavim,1936,Haganah,,,,
Nodedet Jordan Valley,1931,Haganah,,,,
Nodedet Tel-Aviv,1929,Haganah,,,,
Northern Command,1948,IDF,,,,
Oketz Unit  Canine Special Forces 7142,1974,"99 Division - The Maneuver Formation, Infantry, Marom",,,,
Palmach,1941,"British Army, Haganah",,,,
Palsar 500,1992,Armor,,,,
Palyam Sea Company,1945,"Palmach, Palyam",,,,
Paratroopers,1948,Infantry,,,,
Paratroopers Anti-Tank Company,1974,"ATM, Paratroopers Brigade 35",,,,
Paratroopers Brigade 35,1954,98 Division - The Fire Formation,,,,
Paratroopers Engineer Company 505 - Coluber,1963,Infantry,,,,
Paratroopers Reconnaissance Battalion 5135,2002,"Infantry, Paratroopers Brigade 35",,,,
Pipeline Defenders Platoon,1938,"British Army, Haganah",,,,
Polar Bear Unit 88,1968,Armor,,,,
Police,1948,,,,,
Port Company,1947,Palmach,,,,
Reconnaissance Anti-Tank 582 80,1968,Paratroopers,,,,
Reconnaissance Battalion 87,1973,Armor,,,,
Reconnaissance Company 421,1973,Armor,,,,
Reconnaissance Company 679,1970,Armor,,,,
Reconnaissance Company 7,1944,"4th Battalion, Palmach",,,,
Reconnaissance Company 9th Battalion,1948,"9 Battalion, Negev Brigade, Palmach",,,,
Reconnaissance Platoon Golani,1948,"Golani Brigade, Infantry",,,,
Rimon 845,2010,"Givati Brigade 84, Regional, Southern Command",,,,
SAMAG,1983,Police,,,,
Samoor Platoon,2003,"Engineering, Yahalom",,,,
Samson Foxes,1949,"54 Battalion, Givati Brigade",,,,
Samson's Foxes Givati,1948,"Givati Brigade, Infantry",,,,
SAPIR,1970,"Engineering, Yahalom",,,,
Sayeret 401 Armored Reconnaissance Company,1973,Armor,,,,
Sayeret 525 Reconnaissance,1963,"Regional, Southern Command",,,,
Sayeret Alon,,,,,,
Sayeret Charuv 484,1966,"Central Command, Regional",,,,
Sayeret Charuv 93,2017,"99 Division - The Maneuver Formation, Division 99, Kfir Brigade",,,,
Sayeret Debora,2021,Northern Command,,,,
Sayeret Egoz 483,1956,"Northern Command, Regional",,,,
Sayeret Givati,1983,"Givati Brigade 84, Infantry",,,,
Sayeret Golani,2018,,,,,
Sayeret Matkal 262 269,1957,Intelligence,founder,"Avraham Arnan conceived and founded it as 'Company E' inside Unit 154/Aman, late 1957; documented bureaucratic fight to build an SOF inside a non-combat branch (Stirling/Phantom Major influence).",expanded,Still active; institutional parent that seeded later units and commanders -> grew into an institution.
Sayeret Nahal,1983,"Infantry, Nahal Brigade 933",,,,
Sayeret Nahal 934 - Topaz,2021,Nahal Brigade 933,,,,
Sayeret Shaked 424,1955,"Regional, Southern Command",,,,
Sayeret Yael Combat Engineering Reconnaissance,1982,"Engineering, Yahalom",,,,
Scouts,1941,Palmach,,,,
Senior General Staff Security Unit,2001,,,,,
Shaked Chameleon Zikit,1970,"Regional, Southern Command",,,,
Shaked Pseudocerastes Shfifon,1968,"Regional, Sayeret Shaked 424, Southern Command",,,,
Shayetet 13,1950,Navy,transformative,"Naval commando with Palyam roots (1948-50); Ze'ev Almog (cmd 1968-77) rebuilt it into a professional unit after the Eilat loss and failed raids, redefining doctrine and standards.",expanded,Endured to present and grew in role/standing; 66-year institutional life.
Shimshon 367,1987,"Regional, Southern Command",,,,
SIGINT Battalion,,,,,,
Sky Rider Unit 5353,2010,162 Division,,,,
SLA Reconnaissance,1978,,,,,
Snowy Slope,1994,"Engineering, Yahalom",,,,
Southern Command,1948,IDF,,,,
Special Interrogation Group – SIG🇬🇧,1942,"British Army, Intelligence",,,,
Special Night Squad,1938,"British Army, Haganah",,,,
Special Operations Division,1969,Intelligence,,,,
Special Operations Technological Unit 81,1969,"Intelligence, Special Operations Division",,,,
Special Operations Unit,1939,Haganah,,,,
Spectrum,,,,,,
Stinger Anti Aircraft Unit,1998,Air force,,,,
Tactical Brigade Border Police,2017,"Border Police, Police",,,,
Target Field Intelligence Battalion 5707,1996,Air force,,,,
The 4th Battalion,1944,Palmach,,,,
The 89th Oz Brigade,2015,98 Division - The Fire Formation,,,,
The Arab Squad,1942,Palmach,,,,
The Balkan Platoon,1943,Palmach,,,,
The German Platoon,1941,Palmach,,,,
The Syrian Platoon,1940,Palmach,,,,
Unit 101,1953,"Infantry, Jerusalem Brigade",founder,Ariel Sharon created and commanded Unit 101 (Aug 1953) at the army's tasking to consolidate reprisal raiding; unit's existence tied to a single founding individual.,expanded,"Existed ~5 months, merged into the 890th Paratroop Bn (Jan 1954); its personnel and reprisal doctrine became the core of the elite paratroop capability -> seeded a lasting successor (protocol: seed-unit-with-lasting-successor = expanded)."
Unit 30,1951,"Regional, Southern Command",,,,
Unit 5252,2000,Artillery,,,,
Unit 5700,1972,"Air force, Wing 7",,,,
Unit 5707,1974,Air force,,,,
Unit 669 Airborne Rescue And Evacuation,1974,"Air force, Wing 7",,,,
Unit 755,1956,Artillery,,,,
Unit 7555 - 5515,1988,"98 Division - The Fire Formation, Central Command",,,,
Unit Alpinistim (Res),1974,"810 Brigade, Reconnaissance Battalion 7810, Regional",,,,
Unit Daya,2018,Artillery,,,,
Unit Yanmam Airborne Anti Aircraft Unit,2012,Infantry,,,,
Visual Intelligence Battalion,1996,Field Intelligence,,,,
Visual Intelligence Unit - 869 - Shahaf,1973,Field Intelligence,,,,
Wing 7,2020,Air force,,,,
Yachmam B - The Shahaf Seagull Battalion,2000,Field Intelligence,,,,
Yacmam A - The Shahaf Seagull Battalion,2000,Field Intelligence,,,,
Yagal,2000,"Police, YAMAS",,,,
Yahalom Combat Engineering Unit for Special Operations,1995,Engineering,,,,
Yaltam Underwater Missions,1978,Navy,,,,
Yamam Counter-terrorism,1973,"Border Police, Police",,,,
Yamas,1990,"Police, Tactical Brigade Border Police",,,,
Yamas Aravah,1990,"Police, YAMAS",,,,
Yamas Jerusalem,1990,"Police, YAMAS",,,,
Yamas West Bank,1991,"Police, YAMAS",,,,
Yatam (rapid response unit) the valleys,2017,Central Command,,,,
Yiftach - Weapons Development Unit,1970,Engineering,,,,
לבן על לבן: הצצה נדירה להכשרת לוחמי האלפיניסטים | ישראל היום,,,,,,
סיירת צנחנים - פנל״ג,1998,Paratroopers Brigade 35,,,,
סיירת צנחנים חימוש משוטט,,,,,,
פלוגות חשיפה תקיפה חימוש משוטט,,,,,,
"רואים רחוק: לוחמי היחמ""ם נחשפים באימון מיוחד",,,,,,
