Term,Definition,Explanation (if any),Source 1 (MLA Format),Page Number,Sub-source (if any),Year of Publication,Author's profession (Academic=1 Military=2 Both=3),Author's Discpline (if academic),Author's Country,"Definition based on (Designation, Organization, Operators, Role and Function or combination of any)",Definition based on 1=designation 2=organization 3=operators 4=role and function 5=1*2 6=1*3 7=1*4 8=2*3 9=2*4 10=3*4,Universal Title,"Title Code (Special Forces = 1, Elite Forces = 2, Tactical Teams = 3, Special Operations Forces = 4, Other Units = 5)",@dropdown
Special Operations Forces,"Small, carefully selected military, paramilitary, and civilian units with unusual (occasionally unique) skills, which are superlatively trained for specific rather than general purposes, and are designed to undertake unorthodox tasks that ordinary units could accomplish only with far greater difficulty and far less effectiveness, if at all.  SOF, however, are not needed for all special operations.",,"Collins, John M. Green Berets, Seals, and Spetsnaz: U.S. and Soviet Special Military Operations. Washington: Pergamon-Brassey's, 1987. Print.",112,,1987,2,,United States,Operators,3,Special Operations Forces,4,
Special Operations Forces,"Like a carpenter's combination tool, SOF provides a wide variety of capabilities for the CINC's operational toolbox. In war, SOF exploits enemy weaknesses, as a combat multiplier for conventional forces, and sets conditions for operational success. In operations short of war, where conventional forces are constrained by political limitations, SOF provides a means to achieve the strategic ends for the theater. In short, as the political influence on the operational continuum increases, the application of SOF increases as the ability to use conventional forces decreases.",,"Bonham, Gordon C. ""Special Operations Forces: The Combination Tool in the CINC's Operational Toolbox."" Thesis. Thesis / Dissertation ETD, 1991. Print.",Abstract,,1991,2,,United States,?,?,Special Operations Forces,4,
Special Operations Forces,"Forces specifically organized, trained and equipped to conduct or support special operations. They pos- sess unique capabilities designed to address those missions, regardless of where they are conducted in the operational continuum",,"Bonham, Gordon C. ""Special Operations Forces: The Combination Tool in the CINC's Operational Toolbox."" Thesis. Thesis / Dissertation ETD, 1991. Print.",2,"The Joint Chiefs of Staff Publication 3-05 (JOS Pub 3-05), Doctrine for Joint Special Operations",1991,2,,United States,Organization,2,Special Operations Forces,4,
Special Operations Forces,"SOF is, by doctrine, a joint force made up of Army, Air Force, and Navy Special Operations Forces. Although single service special operations are possible in concept, they are infeasible in practice. The execution of a special operation, from insertion to extraction, requires a joint air, ground, and maritime team to achieve mission success.",,"Bonham, Gordon C. ""Special Operations Forces: The Combination Tool in the CINC's Operational Toolbox."" Thesis. Thesis / Dissertation ETD, 1991. Print.",2,,1991,2,,United States,?,?,Special Operations Forces,4,
Special Operations Forces,"Special Operations Forces are an essential part of the . . . 'Total Army'. They perform critical functions complementing heavy and light forces in the middle and upper reaches of the conflict spectrum. They are generally the force of first choice for dealing with threats at the lower end of the conflict spectrum due to their regional expertise, language qualifications, austere support requirements, and lower visibility.","As evidenced by the Army's accomplishments of the past ten years, one must conclude Special Forces is alive and well, totally established in the Service and Joint communities, and viable, given the in-place systems. One must further conclude, however, that the dynamism of the global situation, an impending defense budget cut and a concomitant build-down of the Army pose potential problems for the future of Special Forces","Hilton, Corson L. ""United States Army Special Forces: From a Decade of Development to a Sustained Future."" Thesis. US Army War College, 1991. Print.",29,"(U)Special Operations Forces Modernization Action Program(SOFNAP)(S), HQDA, DCSOPS, August 1989, sec. 1,p.6.42",1991,2,,United States,Designation,1,Special Operations Forces,4,
Special Operations Forces (U.S.),"US special operations figure prominently in the new adaptive joint force packages that are being put together by US Atlantic Command (USACOM) in Norfolk, VA, to support the needs of US regional commanders-in-chief overseas. The new force packages, in particular, are designed to augment traditional peacetime rotational deployments of US Navy and Marine forces on ships overseas, which cannot by sustained at previous levels due to force structure cuts.",,"Goodman, Glenn W., Jr. Rangers Get Sealegs: Special Operations Play in New Joint Force Packages. Armed Forces Journal International 131:52 May '94. Print.",52,,1994,3,"Government, Engineering",United States,Designation,1,Special Operations Forces,4,
Special Operations Forces,"Force multipliers for US conventional forces combating regional aggression; contribute directly to conventional combat operations, complicating enemy operations through assistance to indigenous forces allied with the US and seling the victory through post-hostility and restoration activities",,"United States. Dept. of Defense. Annual Report - Department of Defense. [Washington]: Dept. of Defense, 1997. Print.",195,,1997,2,,United States,Designation*Organization,5,Special Operations Forces,4,
Special Operations Forces,"Covers a wide variety of non-conventional operations that includes in a broad sense the activities of SF

Different from SF because of special function (aviation, intelligence assets, etc.) or conventional orientation (e.g., US Rangers, British Parachute Regiment)

Development was 'ad hoc' and contingent to specific theatres and military leaders","Conventional orientation SOFs are widely considered to be elite of infantry, but they are not special","Finlan, Alastair. ""The (Arrested) Development of UK Special Forces and the Global War on Terror."" Review of International Studies 35.04 (2009): 971. Print.",972-974,,2009,1,"Economics, International Politics",United Kingdom,Role and Function ,4,Special Operations Forces,4,
"Special Operations Forces (""Warrior"")","Contemporary manifestation of S. L. A. Marshall's one-in-four ""firers""","""Warriors"" v. soldiers because ""warriors are more balanced, informed and cautious when it come to combat decision-making, political sensitivity and intellectual activity, but nevertheless more ruthless at the decisive point","King, A. ""The Special Air Service and the Concentration of Military Power."" Armed Forces & Society 35.4 (2009): 646-66. Print.",654,"Rune Henriksen, “Warriors in Combat—What Makes People Actively Fight in Combat,” Journal of Strategic Studies 30, 2 (2007): 187-223",2009,1,Sociology,United Kingdom,Operators,3,Special Operations Forces,4,
Special Operations Forces (Characteristics of),"Skilled, mobile troops; cost effective solution to strategic challenges; existentially and psychologically oriented to combat; they are more tactically and politically astute than mere soldiers; more reluctant to fire than soldiers, but when they shoot, they shoot to kill",debate over these being intrinsic characteristics or result of group training,"King, A. ""The Special Air Service and the Concentration of Military Power."" Armed Forces & Society 35.4 (2009): 646-66. Print.",649/654,,2009,1,Sociology,United Kingdom,Operators,3,Special Operations Forces,4,
Special Operations Forces (Strategic Utility),"(1) economy of force (SOF can serve as force multipliers for regular units in the battlefield); and, (2) expanding the options available to political and military leaders (the availability of special operations capability means that a country can use force flexibly, minimally, and precisely)",,"Leslau, Ohad. ""Worth the Bother? Israeli Experience and the Utility of Special Operations Forces."" Contemporary Security Policy 31.3 (2010): 509-30. Print.",512,"Strategic utility is ‘the contribution of a particular kind of military activity to the course and outcome of an entire conflict’. Gray, Explorations in Strategy (note 5), p. 163.",2010,1,Political Science,Israel,Role and Function,4,Special Operations Forces,4,
Special Operations Forces,"Global Scouts' who serve to 'assure US allies and friends of US government resolve,' and who in the future will be used to defeat improved enemy 'means and methods of anti-access and anti-denial' activities",,"Brailey, Malcolm. ""Not Many Jobs Take a Whole Army: Special Operations Forces and the Revolution in Military Affairs."" Thesis. Institute of Defence and Strategic Studies Singapore, 2004. Print.",15,"Special Operations force Posture Statement, p. 28",2004,3,"International Relations, Defence Studies",Australia,Designation,1,Special Operations Forces,4,
Special Operations Forces (Mode of Operation),"""Focus on harmonization of effects - not synchronization of activities. Simply put, although SOF normally operate independently, their effect is coordinated with the theatre campaign plan to support, enhance, and advance the impact of conventional forces""",,"United States of America. National Security Agency. North Atlantic Treaty Organization. Special Operations Forces Study. By NATO Special Operations Coordination Centre. N.p.: n.p., 2008. Print.",8,Canadian Special Operations Forces Command (CANSOFCOM),2008,2,,United States,Role and Function,4,Special Operations Forces,4,
Special Operations Forces (Purposes),"1) Critical to peacetime engagemtn and crucial to deterrence
2) Expand the range of options available to decision makers confronting crises and conflicts below the threshold of war, such as terrorism, insurgency, and sabotage
3) Act as force multipliers in support of conventional forces engaged in major conflicts, increasing effectiveness and efficiency of US military effort
4) Expand national capabilities to react to situations requiring regional orientation and cultural and political sensitivity, including military-to-military contacts and noncombatant missions like humanitarian assistance, security assistance, and peace-keeping operations",,"United States. Dept. of Defense. Annual Report - Department of Defense. [Washington]: Dept. of Defense, 1997. Print.",193,,1997,1,,United States,Operators*Role and Function,10,Special Operations Forces,4,
Special Operations Forces (Role),"1) They are nation's penetration and strike force, able to respond to specialized contingencies across the conflict spectrum with stealth, speed, and precision
2) They are warrior-diplomats capable of influencing, advising, training, and conducting operations with foreign forces, officials, and populations",,"United States. Dept. of Defense. Annual Report - Department of Defense. [Washington]: Dept. of Defense, 1997. Print.",193,,1997,1,,United States,Designation*Operators,6,Special Operations Forces,4,
Special Operations Forces (v. Traditional Forces),"Difference lies in degree of political risk, often unconventional mode of employment, independence from friendly support, and their dependence on detailed intelligence and indigenous assets",,"United States. Dept. of Defense. Annual Report - Department of Defense. [Washington]: Dept. of Defense, 1997. Print.",195,,1997,1,,United States,Role and Function,4,Special Operations Forces,4,
Special Operations Forces,Support defensive strategy by providing decision makeers with increased options for achieving the national military objectives of promoting stability and thwarting aggression; receive national level oversight to ensure their full integration into planning for conventional operations and interagency planning,,"United States. Dept. of Defense. Annual Report - Department of Defense. [Washington]: Dept. of Defense, 1997. Print.",195,,1997,1,,United States,Designation,1,Special Operations Forces,4,
Special Operations Forces,"Provide the US with immediate and primary capability to respond to terrorism and serve as ""the military mainstay of the United States for the purpose of nation-building and training fondly foreign forces in order to preclude deployment or combat involving the conventional or strategic fores of the United States.""",,"United States of America. Library of Congress. Congressional Research Service. Special Operations Forces: An Assessment 1986-1993. By John M. Collins. Washington, D.C.: Congressional Research Service, 1993. Print.",3,,1993,2,,United States,Designation,1,Special Operations Forces,4,
Special Operations Forces,"Employable where high-profile conventional forcess appear to be politically, militarily, and/or economically inappropriate; small, self-reliant, readily deployable units that capitalize on speed, surprise, audacity, and deception to accomplish missions in ways that minimize risks of escalation and concurrently maximize returns compared with orthodox applications of military power, which normally emphasizes mass",,"United States of America. Library of Congress. Congressional Research Service. Special Operations Forces: An Assessment 1986-1993. By John M. Collins. Washington, D.C.: Congressional Research Service, 1993. Print.",5,,1993,2,,United States,Operators,3,Special Operations Forces,4,
Special Operations Forces,"First is the concept of being ""global scouts."" Special operations in the future will have forward presence with minimum forward bases -- forward present because of all our training missions. Those small groups can collect a lot of knowledge about their areas ... and relay information that can give regional CINCs and National Command Authorities a real feel for what is going on in that area. 

Second, we will be the pathfinders for the stratefy of engagement in the [next] century. Until we come up against a peer competitor in the future or a group of peer competitors, we think the idea of engagement and enlargement -- engagement with other nations to enlarge democracy and competitive markets -- will be an important part of what we do. Our soldiers will be doing that because of their cultural understanding, and we see in the future that will be more of our niche, even more than today. We also have a highly specialized direct-action capability, and those forces will remain force multipliers. Should we go from engagement and enlargement [to] conflict, when we make that very easy transition into doing direct action. For early forced entry, our forces will be the choice. We will be key ""enablers"" for our coalitions, providing for early integration into plans and operations and building mutual trust.

Our role will also be to serve as providers for peacekeeping and stability transitions. We can't do it all. The special operations forice is relatively small, so we are still going to need large forces for peacekeeping and stability -- brigades of soldiers to do that -- but the soldiers who will enable it to happen and be the ones who make the transition easy for the standard conventional commander will be psychological operations [PSYOP], civil affairs and Special Forces soldiers.",,"Steele, Dennis. Defining Army Special Ops' Role for the Next Century. Army 47:16-20 Apr '97. Print.",16-20,,1997,2,,United States,Designation*Role and Function,7,Special Operations Forces,4,
Special Operations Forces,"SOF have determined that their soldiers will be more successful if they have the following attributes:
Organizational skills, trainability, situational awareness, ability to make complex discriminations and decisions, personal adaptability, resistance to stress, dependability, determination, and stability, and physical endurance and specialized military skills

SOF must select soldiers who can remain ""mentally alive"" while experiencing deep fatigue and personal discomfort.",,"Carlin, Thomas M. (Col) and Sanders, Mike. Soldier of the Future: Assessment and Selection of Force XXI. Special Warfare 9:16-21 May '96. Print.",16-21,,1996,2,,United States,Operators,3,Special Operations Forces,4,
Special Operations Forces,"Unlike conventional forces, (SOF) usually work in small teams. They opreate behind enemy lines, train indigenous forces, or work with other countries to rebuild nations after war. Special operations forces may be most useful during periods of relative peace or ""behind enemy lines"" in major conflicts. This unconventional, often indirect, warfare has long been unappreciated or even disdained by conventional forces.

Special operations forces have developed unique operational capabilities and missions that distinguish them from their conventional counterparts. Each group performs missions and meets requirements that more conventionally trained or organized forces can not adequately address. The success of these operations has often required unconventional men and, occasionally, women.

They are nearly always commanded by conventional force commanders who are not trained in SOF capabilities and occasionally mistrust the forces.",,"Marquis, Susan L. Unconventional Warfare: Rebuilding U.S. Special Operations Forces. Washington, D.C.: Brookings Institution, 1997. Print.",7-Jun,,1997,3,Public and International Affairs,United States,Organization*Operators,8,Special Operations Forces,4,
Special Operations Forces,"1) CT and UW are strictly special operations
2) May remain in hostile territory for weeks or months collecting otherwise unattainable information
3) Combat readiness improves during FIDs
4) Stronger orientation and language skills
5) More self-reliant",,"United States of America. Library of Congress. Congressional Research Service. Special Operations Forces: An Assessment 1986-1993. By John M. Collins. Washington, D.C.: Congressional Research Service, 1993. Print.",5 to 6,,1993,2,,United States,Operators,3,Special Operations Forces,4,
Special Operations Forces (Responsibilities),"1) Direct Action (DA)
2) Strategic Reconnaissance (SR)
3) Unconventional Warfare (UW)
4) Foreign Internal Defense (FID)
5) Civil Affairs (CA)
6) Psychological Operations (PSYOP)
7) Counterterrorism (CT)
8) Humanitarian Assistance (HA)
9) Theater Search and Rescue (TSAR)
10) Other activities as specified by President or Secretary of Defense",,"United States of America. Library of Congress. Congressional Research Service. Special Operations Forces: An Assessment 1986-1993. By John M. Collins. Washington, D.C.: Congressional Research Service, 1993. Print.",3,,1993,2,,United States,Role and Function,4,Special Operations Forces,4,
Special Operations Forces (Capability Levels),See pages 57 - 59 of NATO SOF Study,,"United States of America. National Security Agency. North Atlantic Treaty Organization. Special Operations Forces Study. By NATO Special Operations Coordination Centre. N.p.: n.p., 2008. Print.",C1-C4,,2008,2,,United States,,,Special Operations Forces,4,
"Special Operations Forces (Missions; for details on each, see doc)","1) Counterproliferation (CP)
2) Combating Terrorism (CBT)
3) Foreign Internal Defense (FID)
4) Special Reconnaissance (SR)
5) Direct Action (DA)
6) Psychological Operations (PSYOP)
7) Civil Affairs (CA)
8) Unconventional Warfare (UW)
9) Information Warfare (IW) / Command and Control Warfare (C^2W)",,"United States. Dept. of Defense. Annual Report - Department of Defense. [Washington]: Dept. of Defense, 1997. Print.",194,,1997,2,,United States,Role and Function,4,Special Operations Forces,4,
Special Operations Forces (Areas of Collateral Activity),"1) Coalition Support
2) Combat Search and Rescue (CSAR)
3) Counterdrug (CD) Activities
4) Humanitarian Demining Operations (HDO)
5) Humanitarian Assistance (HA)
6) Security Assistance (SA)
7) Special Activities",,"United States. Dept. of Defense. Annual Report - Department of Defense. [Washington]: Dept. of Defense, 1997. Print.",194,,1997,2,,United States,Role and Function,4,Special Operations Forces,4,
Special Operations Forces (Force Structure),See page 196,,"United States. Dept. of Defense. Annual Report - Department of Defense. [Washington]: Dept. of Defense, 1997. Print.",196,,1997,2,,United States,,,Special Operations Forces,4,
Special Operations Forces (Missions),"1) Unconventional Warfare - regular military forces leading local resistance units
2) Interdiction - conducted behind enemy lines to attack convoys, logistics centers, pipelines, or headquarters involved with maintaining the flow of war supporting materials to the front
3) Psychological Warfare - activities designed to demoralize enemy troops and encourage the desertion or defection
4) Subversion and Sabotage - conducted behind enemy lines to attack high priority targets, hit political elite, or disrupt higher command echelons
5) Strategic Intelligence - acquisition of strategic intelligence",,"Byars, William R. Combined Control of Special Operations Forces in the Central Region of Allied Command Europe. Rep. Alabama: Air War College Air University, 1989. Print.",4 to 5,,1989,2,,United States,Role and Function,4,Special Operations Forces,4,
(CIA) Special Operations Forces,"Mostly civilians, who mingle with selected military personnel on loan from U.S. armed services. Total numbers are classified, but certainly small, because they conduct covert special activities individuall or rely extensively on foreign resources (such as tribes in Laos and Vietnam) for large-scale operations, according to accounts by advocates and detractors alike.",,"Collins, John M. Green Berets, Seals, and Spetsnaz: U.S. and Soviet Special Military Operations. Washington: Pergamon-Brassey's, 1987. Print.",21,,1987,2,,United States,Organization,2,Special Operations Forces,4,
(Army) Special Operations Forces,"Hitchhikers who depend wholly on the Air Force for intertheater airlift and, except for the 160th Aviation Group, most tactical air transport and heavy fire support as well. (Slashed severly in the aftermath of Vietnam)",,"Collins, John M. Green Berets, Seals, and Spetsnaz: U.S. and Soviet Special Military Operations. Washington: Pergamon-Brassey's, 1987. Print.",27,,1987,2,,United States,Organization,2,Special Operations Forces,4,
Special Operations Forces (Organization),Book provides org charts for the SOF of several US armed forces branches,,"Collins, John M. Green Berets, Seals, and Spetsnaz: U.S. and Soviet Special Military Operations. Washington: Pergamon-Brassey's, 1987. Print.",32-37,,1987,2,,United States,Organization,2,Special Operations Forces,4,
Special Operations Forces (Groups),"For groups and the mission, capability, and organization of each, see pages 34-40",,"Hilton, Corson L. ""United States Army Special Forces: From a Decade of Development to a Sustained Future."" Thesis. US Army War College, 1991. Print.",34-40,,1987,2,,United States,Role and Function,4,Special Operations Forces,4,
